time_s,DP_module_m2_s2
18.2801,27.980716204
18.2861,27.980558875
18.292,27.980648324
18.2979,27.980589848
18.3038,27.980680469
18.3097,27.98051349
18.3156,27.980655765
18.3215,27.980496484
18.3274,27.980506764
18.3333,27.980400532
18.3392,27.980410261
18.3452,27.980252301
18.3511,27.980337485
18.357,27.980216295
18.3629,27.980242892
18.3688,27.980268899
18.3747,27.980380412
18.3806,27.980241554
18.3865,27.980483108
18.3924,27.980424336
18.3983,27.98051884
18.4043,27.980408311
18.4102,27.980595004
18.4161,27.980460461
18.422,27.980676992
18.4279,27.980567029
18.4338,27.980656975
18.4397,27.980601535
18.4456,27.980709928
18.4515,27.980591683
18.4574,27.980716801
18.4634,27.980641051
18.4693,27.980687083
18.4752,27.98061064
18.4811,27.980692132
18.487,27.980535983
18.4929,27.980756158
18.4988,27.980628784
18.5047,27.980688193
18.5106,27.980576089
18.5165,27.980733836
18.5225,27.980584428
18.5284,27.980699819
18.5343,27.980584036
18.5402,27.980623141
18.5461,27.980570483
18.552,27.980671637
18.5579,27.980545644
18.5638,27.9806764
18.5697,27.980607373
18.5757,27.980613712
18.5816,27.980494969
18.5875,27.980514192
18.5934,27.980322631
18.5993,27.980453366
18.6052,27.980257958
18.6111,27.980315871
18.617,27.980215784
18.6229,27.980398742
18.6288,27.980261923
18.6348,27.980437802
18.6407,27.980342754
18.6466,27.980420011
18.6525,27.980393771
18.6584,27.980529484
18.6643,27.980441842
18.6702,27.980633273
18.6761,27.980566981
18.682,27.98069396
18.6879,27.980625344
18.6939,27.980735926
18.6998,27.980621184
18.7057,27.980824244
18.7116,27.980668593
18.7175,27.980745186
18.7234,27.980612568
18.7293,27.980752053
18.7352,27.980588247
18.7411,27.980730005
18.747,27.98063032
18.753,27.98071174
18.7589,27.980637233
18.7648,27.980706761
18.7707,27.980611155
18.7766,27.980748339
18.7825,27.980664536
18.7884,27.980660464
18.7943,27.980575926
18.8002,27.980673276
18.8061,27.980547871
18.8121,27.980701994
18.818,27.980560054
18.8239,27.980638025
18.8298,27.980485126
18.8357,27.980555755
18.8416,27.980324775
18.8475,27.980454304
18.8534,27.980311537
18.8593,27.980346489
18.8652,27.98024679
18.8712,27.98038995
18.8771,27.980275758
18.883,27.980508076
18.8889,27.980331037
18.8948,27.980529198
18.9007,27.980362287
18.9066,27.980580323
18.9125,27.980391589
18.9184,27.980731299
18.9243,27.980550283
18.9303,27.980729746
18.9362,27.980576628
18.9421,27.98083807
18.948,27.980588745
18.9539,27.980851277
18.9598,27.980649803
18.9657,27.980807039
18.9716,27.980624924
18.9775,27.980816706
18.9835,27.980591727
18.9894,27.980824207
18.9953,27.980625251
19.0012,27.980783235
19.0071,27.980628434
19.013,27.980809517
19.0189,27.980512844
19.0248,27.980795085
19.0307,27.980571351
19.0366,27.980753377
19.0426,27.980585689
19.0485,27.980822669
19.0544,27.98054529
19.0603,27.98082225
19.0662,27.980539712
19.0721,27.980665241
19.078,27.980494642
19.0839,27.980668257
19.0898,27.980365452
19.0957,27.980532182
19.1017,27.980314572
19.1076,27.980415529
19.1135,27.980188435
19.1194,27.980408322
19.1253,27.980237782
19.1312,27.980590991
19.1371,27.980322985
19.143,27.980570862
19.1489,27.980388478
19.1548,27.980691908
19.1608,27.980452104
19.1667,27.980754314
19.1726,27.980555316
19.1785,27.980770019
19.1844,27.980623738
19.1903,27.980862596
19.1962,27.980667009
19.2021,27.98089177
19.208,27.980691626
19.2139,27.980793206
19.2199,27.980605566
19.2258,27.980820964
19.2317,27.980565435
19.2376,27.980829091
19.2435,27.980640347
19.2494,27.980831752
19.2553,27.980607859
19.2612,27.98087419
19.2671,27.980575759
19.273,27.980834704
19.279,27.980607953
19.2849,27.980744109
19.2908,27.980606116
19.2967,27.980811877
19.3026,27.980589995
19.3085,27.980813899
19.3144,27.980581167
19.3203,27.98071942
19.3262,27.980530676
19.3322,27.980673655
19.3381,27.98037187
19.344,27.980596505
19.3499,27.98027908
19.3558,27.980469282
19.3617,27.980229985
19.3676,27.980508461
19.3735,27.980298519
19.3794,27.980545372
19.3853,27.98031811
19.3913,27.980518557
19.3972,27.980408707
19.4031,27.980617027
19.409,27.980455668
19.4149,27.98073053
19.4208,27.980591797
19.4267,27.980742537
19.4326,27.980576132
19.4385,27.980822933
19.4444,27.980625641
19.4504,27.980894873
19.4563,27.980649745
19.4622,27.980852567
19.4681,27.980615943
19.474,27.980814122
19.4799,27.980556858
19.4858,27.980831026
19.4917,27.9806379
19.4976,27.980809799
19.5035,27.980606672
19.5095,27.980851378
19.5154,27.980607286
19.5213,27.980813237
19.5272,27.980606324
19.5331,27.980786117
19.539,27.980607173
19.5449,27.980807387
19.5508,27.980577133
19.5567,27.980801526
19.5626,27.980619104
19.5686,27.980742423
19.5745,27.980558049
19.5804,27.98072336
19.5863,27.98044222
19.5922,27.980586389
19.5981,27.98036594
19.604,27.980462769
19.6099,27.980259509
19.6158,27.980468052
19.6217,27.980280584
19.6277,27.980537725
19.6336,27.980360299
19.6395,27.98053099
19.6454,27.980358349
19.6513,27.980617508
19.6572,27.980363148
19.6631,27.98065321
19.669,27.980523057
19.6749,27.98073523
19.6809,27.980545865
19.6868,27.980826141
19.6927,27.98060775
19.6986,27.980862216
19.7045,27.980679781
19.7104,27.980813532
19.7163,27.980628534
19.7222,27.980844308
19.7281,27.980560745
19.734,27.980836299
19.74,27.980645404
19.7459,27.980857071
19.7518,27.980613474
19.7577,27.980857689
19.7636,27.98065335
19.7695,27.980861096
19.7754,27.980646342
19.7813,27.980780853
19.7872,27.98059733
19.7931,27.980839398
19.7991,27.980572418
19.805,27.980868234
19.8109,27.980669617
19.8168,27.980819536
19.8227,27.980568097
19.8286,27.980793898
19.8345,27.980482243
19.8404,27.980709263
19.8463,27.980366477
19.8522,27.98051282
19.8582,27.980271048
19.8641,27.980597667
19.87,27.980305286
19.8759,27.980563765
19.8818,27.980367352
19.8877,27.9805898
19.8936,27.980400853
19.8995,27.98067487
19.9054,27.980434346
19.9113,27.980781867
19.9173,27.980601157
19.9232,27.980799325
19.9291,27.980612858
19.935,27.98087723
19.9409,27.980622734
19.9468,27.980926005
19.9527,27.980742534
19.9586,27.980938252
19.9645,27.98061947
19.9704,27.980881319
19.9764,27.980602598
19.9823,27.980893875
19.9882,27.980654165
19.9941,27.980894276
20.0,27.980682994
20.0059,27.980947129
20.0118,27.980638404
20.0177,27.980939094
20.0236,27.980753146
20.0296,27.98088662
20.0355,27.980557624
20.0414,27.980871555
20.0473,27.980661161
20.0532,27.980854986
20.0591,27.980637943
20.065,27.980803166
20.0709,27.980605459
20.0768,27.980808243
20.0827,27.980435766
20.0887,27.980686002
20.0946,27.980464363
20.1005,27.980618305
20.1064,27.98025676
20.1123,27.980519447
20.1182,27.980277669
20.1241,27.980522554
20.13,27.980299786
20.1359,27.980514402
20.1418,27.980374962
20.1478,27.980656944
20.1537,27.980386798
20.1596,27.980662101
20.1655,27.980560916
20.1714,27.980793809
20.1773,27.980560011
20.1832,27.980887531
20.1891,27.980676983
20.195,27.980956775
20.2009,27.980747848
20.2069,27.980958119
20.2128,27.980706217
20.2187,27.980972987
20.2246,27.980672253
20.2305,27.980874262
20.2364,27.980669441
20.2423,27.980870923
20.2482,27.980630686
20.2541,27.980923502
20.26,27.980679223
20.266,27.980940218
20.2719,27.980717041
20.2778,27.980877608
20.2837,27.980594351
20.2896,27.980864905
20.2955,27.980581591
20.3014,27.980891841
20.3073,27.980679638
20.3132,27.980855137
20.3191,27.980568926
20.3251,27.980850285
20.331,27.980530277
20.3369,27.980766178
20.3428,27.98045953
20.3487,27.980629693
20.3546,27.980343773
20.3605,27.98055747
20.3664,27.980241547
20.3723,27.980578877
20.3783,27.980340006
20.3842,27.980569221
20.3901,27.98034536
20.396,27.98066978
20.4019,27.980405278
20.4078,27.980662231
20.4137,27.980501168
20.4196,27.98065398
20.4255,27.980566801
20.4314,27.980813482
20.4374,27.980587278
20.4433,27.98085163
20.4492,27.980673244
20.4551,27.980912443
20.461,27.98062003
20.4669,27.980914486
20.4728,27.980582387
20.4787,27.980870918
20.4846,27.980584568
20.4905,27.980780735
20.4965,27.980560232
20.5024,27.980900995
20.5083,27.980586806
20.5142,27.980932568
20.5201,27.980732551
20.526,27.980959647
20.5319,27.980624292
20.5378,27.980927906
20.5437,27.980659478
20.5496,27.980929173
