time_s,rack 1,rack 2,rack 3,rack 4
9.37909,15.853925870000012,15.863804640000012,15.863803340000004,15.853927830000032
9.59881,15.855681830000037,15.865762350000011,15.865758650000032,15.855684010000004
9.76153,15.856497380000008,15.866784550000034,15.866778060000001,15.85650105000002
10.0103,15.858841630000029,15.868180120000034,15.868168670000045,15.858840090000001
10.2272,15.860426800000027,15.868568390000007,15.868550550000009,15.860412740000015
10.3903,15.860529340000028,15.86855681000003,15.868540300000006,15.86053086000004
10.5611,15.86163208000005,15.86838014,15.868366879999996,15.86163614000003
10.7966,15.863530340000011,15.867999760000032,15.867987280000023,15.863551120000011
10.9662,15.864392590000023,15.867386830000044,15.867379380000045,15.864427599999999
11.2102,15.865212600000007,15.866299340000012,15.866292980000026,15.865252980000037
11.3785,15.865784930000018,15.865469259999998,15.865461170000003,15.865803800000037
11.6321,15.866516190000027,15.864327540000033,15.864316880000047,15.866504039999995
11.7925,15.865377190000004,15.863439140000025,15.863433729999997,15.865371280000033
12.0413,15.86629431,15.86262216,15.862624290000042,15.866312680000021
12.2071,15.86700140000005,15.862356050000017,15.86235640000001,15.867005430000006
12.3729,15.868300490000024,15.862085820000004,15.862092700000005,15.868305980000002
12.6216,15.868417660000034,15.862072090000026,15.862082290000046,15.868432760000019
12.7865,15.871510320000027,15.862485400000025,15.862496640000018,15.87150680000002
13.0334,15.873512419999997,15.863540890000024,15.863560010000015,15.873589400000014
13.1973,15.878342470000007,15.864897589999998,15.86491772000005,15.878435140000022
13.3612,15.882381199999998,15.866621420000001,15.866663990000006,15.88251064000002
13.6071,15.890027040000007,15.870449559999997,15.870487870000034,15.890060340000048
13.7721,15.896427770000003,15.874056130000042,15.874085280000031,15.896489210000027
14.0224,15.907681780000019,15.881419240000014,15.88136129000003,15.905242330000021
14.1907,15.90956656000003,15.887972120000029,15.888409360000026,15.912257060000002
14.3604,15.919851090000009,15.89665702000002,15.89648814000003,15.924508830000036
14.6194,15.938364739999997,15.913723230000016,15.913405140000009,15.944613059999995
14.7944,15.959125590000042,15.92788366000002,15.928933670000049,15.952528380000047
14.9724,15.969000520000009,15.947215090000043,15.947396480000009,15.967085450000013
15.2385,15.996077900000046,15.981793280000034,15.981667400000049,15.996851180000021
15.4149,16.019307010000034,16.00974973000001,16.009666949999996,16.018451400000004
15.5912,16.045621850000032,16.042149359999996,16.04202194000004,16.043750009999997
15.7676,16.074254230000008,16.079105670000047,16.078866470000037,16.071794090000026
16.0267,16.11942442000003,16.141851840000015,16.141408710000007,16.11657518000004
16.2014,16.15160726000005,16.189681760000042,16.18910195000001,16.14871419000002
16.3781,16.18478596,16.242657050000048,16.241966030000015,16.181935250000038
16.6431,16.234296450000045,16.330085410000038,16.32927393,16.231587500000046
16.8198,16.266551340000035,16.393705030000035,16.392850440000018,16.26394516000005
16.9965,16.297538050000014,16.46180460000005,16.460937040000033,16.295065950000037
17.1732,16.32711446000002,16.535377340000025,16.534507890000043,16.32480184000002
