time_s,Ux,Uy,Uz,T,p_rgh
9.52658,0.02853531491,0.01390681554,0.01050181307,0.004158346792,0.04281113021
9.59881,0.03002690927,0.01499288905,0.01109755452,0.00457721372,0.04618407507
9.6776,0.02414805761,0.01318353826,0.009455942709,0.004936020171,0.04626753207
9.76153,0.04315233344,0.02142256598,0.01712771515,0.005160955232,0.0515378188
9.84685,0.02644621557,0.01381057361,0.009983624722,0.005196205624,0.04765499119
9.92495,0.03056770791,0.01597997844,0.01222846479,0.004769134811,0.04571802918
10.0103,0.02447175065,0.0132242022,0.00952824026,0.005091020987,0.04551399318
10.095,0.04125661689,0.02075445598,0.01677272304,0.005022257491,0.04905859271
10.1569,0.0191595667,0.0102376738,0.007707842129,0.003756744431,0.03780145548
10.2272,0.03230773169,0.01694081106,0.01367899441,0.004183849205,0.04342641887
10.306,0.02277800223,0.01234307371,0.009298283115,0.004621549704,0.04155101544
10.3903,0.04155374731,0.02109208599,0.01741498547,0.00487638664,0.04676139153
10.4761,0.02676450265,0.0128138516,0.009344261705,0.004927237922,0.04264472367
10.5611,0.03240077072,0.01597323859,0.01240063478,0.004872649324,0.04293725689
10.6379,0.02480693564,0.01245610551,0.00974846213,0.004441662175,0.03911191449
10.7166,0.0327352424,0.01609272069,0.01290728532,0.004529368173,0.04152462285
10.7966,0.02616775489,0.0129185531,0.01007578317,0.004571849897,0.0397694124
10.881,0.03296743679,0.01648494043,0.01312001514,0.004776365127,0.04123898966
10.9662,0.02619011312,0.01310266481,0.01016533285,0.004788081367,0.03878666356
11.0515,0.03199289812,0.01619036047,0.01278373991,0.004785731123,0.03957547937
11.1273,0.01919666812,0.01068706096,0.007932697987,0.004325876705,0.03530946734
11.2102,0.030322707,0.01586489084,0.0133077107,0.004637996786,0.03918182706
11.2932,0.03151484632,0.01594269738,0.01267969484,0.004650708088,0.03795129714
11.3785,0.02516925053,0.01272542993,0.009842898341,0.004723259643,0.03619827666
11.463,0.0305547424,0.01575843581,0.01243724845,0.00469444996,0.03689639868
11.5476,0.01996079859,0.01143404464,0.008297280778,0.004681120568,0.03498790716
11.6321,0.02812570665,0.01477484007,0.01232703057,0.004641108787,0.03577080314
11.7096,0.02887600313,0.01479037271,0.01183946776,0.004311460157,0.03473006719
11.7925,0.02055456189,0.01156865886,0.008630440295,0.004574303467,0.03520581109
11.8737,0.02741376597,0.01425819462,0.01199726826,0.004462341049,0.03560103129
11.9575,0.03082717137,0.01577762055,0.01254770205,0.004582633847,0.03586628776
12.0413,0.01959794281,0.01127979652,0.008348710327,0.004571703676,0.03323996089
12.1242,0.02727607983,0.01420977793,0.01194769647,0.004482098573,0.03353950949
12.2071,0.02994060746,0.01553508811,0.01231224161,0.004485706803,0.03384301224
12.29,0.01930416297,0.01103881303,0.008254584768,0.004479247192,0.03176055681
12.3729,0.01579320782,0.009108240945,0.006211361155,0.00446168817,0.03092186553
12.4558,0.02692218779,0.01417845344,0.01198008962,0.004415036292,0.03201054561
12.5387,0.02970321201,0.01552834753,0.0124005172,0.004427717865,0.0323463637
12.6216,0.02062843614,0.01178669368,0.009253525358,0.00443008239,0.03049178006
12.7036,0.01397484562,0.00814344793,0.005601955628,0.004365704059,0.02989946246
12.7865,0.01538403546,0.008579621717,0.005977794724,0.004395031288,0.02969157614
12.8685,0.0255666833,0.01354364586,0.01133939727,0.004306912379,0.03044250988
12.9514,0.02918937867,0.01533049797,0.01229530037,0.004365271692,0.03136092723
13.0334,0.01794775415,0.0106286969,0.008696941868,0.004327220486,0.02812649305
13.1153,0.01401451903,0.008171975273,0.005971724101,0.004304520735,0.03018011793
13.1973,0.01521281759,0.008572954457,0.006112784358,0.004293228449,0.02928874514
13.2792,0.01583400323,0.009013418619,0.006679200132,0.004287225095,0.02896192857
13.3612,0.01541898614,0.008895638583,0.006551338065,0.004280927961,0.02889571377
13.4432,0.01505641738,0.008745783147,0.006424147411,0.004274559395,0.0287646029
13.5251,0.01489528464,0.008712683641,0.006421794509,0.004267545079,0.02864760389
13.6071,0.01472616387,0.008681575701,0.006405435337,0.004260664929,0.02857184267
13.689,0.0146035903,0.008662171072,0.006408991852,0.004253143075,0.02848563514
13.7721,0.01463747417,0.008738471385,0.006492581361,0.004296081559,0.02861846381
13.8551,0.01459673019,0.008748407532,0.006513477192,0.004291924959,0.02859163238
13.9382,0.01411546747,0.00854575767,0.006693570336,0.004289958626,0.02726396608
14.0224,0.01442647197,0.008339423306,0.006355984664,0.004336734322,0.02798932461
14.1065,0.01477455224,0.008598302006,0.006292821453,0.004328410688,0.02923467609
14.1907,0.01480083306,0.008775795641,0.007039662776,0.004329299595,0.02747279202
14.2749,0.01429920052,0.008382871917,0.006609451052,0.00432966319,0.02650970272
14.3604,0.01291724797,0.007914691594,0.005972484315,0.004382597327,0.02713398825
14.4458,0.01494431506,0.008490408441,0.006610295831,0.00438522855,0.02802769832
14.5326,0.01423835173,0.008185104789,0.006679251798,0.004453069321,0.02592286297
14.6194,0.01296785329,0.007953792912,0.006073890942,0.004452710346,0.02778739364
14.7062,0.01531915397,0.008602778382,0.006779293194,0.004458415234,0.02860499021
14.7944,0.01443119831,0.00822464313,0.006834863023,0.004532622005,0.02642652522
14.8826,0.01327460997,0.008035451437,0.00617832451,0.004534928458,0.02850317514
14.9724,0.01469187217,0.008223613172,0.006897285064,0.004610316588,0.02686566796
15.0622,0.01197815007,0.007399065201,0.006132183934,0.004617055381,0.02621164503
15.1504,0.01356291564,0.00782556926,0.006343160364,0.004546983583,0.0271994488
15.2385,0.01280288842,0.007438593877,0.00645290732,0.004556506371,0.02609194989
15.3267,0.01179181299,0.007130020718,0.006098515127,0.004561069812,0.02563841467
15.4149,0.01179868932,0.007058827489,0.006111136715,0.004567208335,0.02549166216
15.5031,0.01177769195,0.007006949011,0.006138354417,0.004569620707,0.02536495796
15.5912,0.01180892318,0.006973941145,0.006160655149,0.004577724703,0.02538825552
15.6794,0.01188137953,0.00695650555,0.006178459564,0.00458276104,0.02543319861
