# F28 centrebody profile -- THE REGISTERED ARTIFACT of section 4.
# Actuator-disk representation; no rotor.
# nose: C1 smoothstep TANGENT TO THE AXIS at the apex (x=-0.03);
# tail: STRAIGHT CONE terminating AT the exit plane (section 7.1).
x_m,r_m
0.00036,0.0121031017594
0.000475,0.0121793205437
0.00059,0.0122556500421
0.000705,0.0123320889181
0.00082,0.0124086358348
0.000935,0.0124852894555
0.00105,0.0125620484436
0.001165,0.0126389114623
0.00128,0.012715877175
0.001395,0.0127929442449
0.00151,0.0128701113353
0.001625,0.0129473771095
0.00174,0.0130247402309
0.001855,0.0131021993626
0.00197,0.013179753168
0.002085,0.0132574003104
0.0022,0.0133351394531
0.002315,0.0134129692594
0.00243,0.0134908883925
0.002545,0.0135688955158
0.00266,0.0136469892926
0.002775,0.0137251683861
0.00289,0.0138034314596
0.003005,0.0138817771765
0.00312,0.0139602042
0.003235,0.0140387111934
0.00335,0.0141172968201
0.003465,0.0141959597432
0.00358,0.0142746986262
0.003695,0.0143535121322
0.00381,0.0144323989247
0.003925,0.0145113576668
0.00404,0.0145903870219
0.004155,0.0146694856532
0.00427,0.0147486522242
0.004385,0.014827885398
0.0045,0.0149071838379
0.004615,0.0149865462073
0.00473,0.0150659711694
0.004845,0.0151454573875
0.00496,0.015225003525
0.005075,0.0153046082451
0.00519,0.0153842702111
0.005305,0.0154639880863
0.00542,0.015543760534
0.005535,0.0156235862175
0.00565,0.0157034638
0.005765,0.015783391945
0.00588,0.0158633693156
0.005995,0.0159433945752
0.00611,0.0160234663871
0.006225,0.0161035834145
0.00634,0.0161837443207
0.006455,0.0162639477691
0.00657,0.0163441924229
0.006685,0.0164244769454
0.0068,0.0165048
0.006915,0.0165851602499
0.00703,0.0166655563583
0.007145,0.0167459869887
0.00726,0.0168264508043
0.007375,0.0169069464684
0.00749,0.0169874726442
0.007605,0.0170680279951
0.00772,0.0171486111844
0.007835,0.0172292208753
0.00795,0.0173098557312
0.008065,0.0173905144153
0.00818,0.017471195591
0.008295,0.0175518979215
0.00841,0.0176326200702
0.008525,0.0177133607002
0.00864,0.017794118475
0.008755,0.0178748920578
0.00887,0.0179556801119
0.008985,0.0180364813005
0.0091,0.0181172942871
0.009215,0.0181981177349
0.00933,0.0182789503071
0.009445,0.0183597906671
0.00956,0.0184406374781
0.009675,0.0185214894035
0.00979,0.0186023451066
0.009905,0.0186832032506
0.01002,0.0187640624988
0.010135,0.0188449215146
0.01025,0.0189257789612
0.010365,0.0190066335019
0.01048,0.0190874838
0.010595,0.0191683285188
0.01071,0.0192491663216
0.010825,0.0193299958717
0.01094,0.0194108158324
0.011055,0.019491624867
0.01117,0.0195724216387
0.011285,0.0196532048109
0.0114,0.0197339730469
0.011515,0.0198147250099
0.01163,0.0198954593632
0.011745,0.0199761747702
0.01186,0.0200568698941
0.011975,0.0201375433983
0.01209,0.0202181939459
0.012205,0.0202988202004
0.01232,0.020379420825
0.012435,0.020459994483
0.01255,0.0205405398376
0.012665,0.0206210555523
0.01278,0.0207015402902
0.012895,0.0207819927147
0.01301,0.0208624114891
0.013125,0.0209427952766
0.01324,0.0210231427406
0.013355,0.0211034525444
0.01347,0.0211837233511
0.013585,0.0212639538242
0.0137,0.021344142627
0.013815,0.0214242884226
0.01393,0.0215043898745
0.014045,0.0215844456458
0.01416,0.0216644544
0.014275,0.0217444148003
0.01439,0.0218243255099
