# F28 duct inner/outer surfaces and the O-band boundary C'.
# Actuator-disk representation; no rotor.
x_m,r_inner_m,r_outer_m,r_cprime_inner_m,r_cprime_outer_m
0.0298,0.125000333337,0.150369107965,0.122500333337,0.152869107965
0.0299,0.125000083334,0.150380732151,0.122500083334,0.152880732151
0.03,0.125,0.150392304845,0.1225,0.152892304845
0.0301,0.125,0.150403826219,0.1225,0.152903826219
0.0302,0.125,0.150415296443,0.1225,0.152915296443
0.0303,0.125,0.150426715686,0.1225,0.152926715686
0.0304,0.125,0.150438084115,0.1225,0.152938084115
0.0305,0.125,0.150449401897,0.1225,0.152949401897
0.0306,0.125,0.150460669195,0.1225,0.152960669195
0.0307,0.125,0.150471886172,0.1225,0.152971886172
0.0308,0.125,0.15048305299,0.1225,0.15298305299
0.0309,0.125,0.15049416981,0.1225,0.15299416981
0.031,0.125,0.150505236789,0.1225,0.153005236789
0.0311,0.125,0.150516254086,0.1225,0.153016254086
0.0312,0.125,0.150527221856,0.1225,0.153027221856
0.0313,0.125,0.150538140253,0.1225,0.153038140253
0.0314,0.125,0.150549009432,0.1225,0.153049009432
0.0315,0.125,0.150559829544,0.1225,0.153059829544
0.0316,0.125,0.15057060074,0.1225,0.15307060074
0.0317,0.125,0.150581323169,0.1225,0.153081323169
0.0318,0.125,0.150591996979,0.1225,0.153091996979
0.0319,0.125,0.150602622317,0.1225,0.153102622317
0.032,0.125,0.150613199329,0.1225,0.153113199329
0.0321,0.125,0.150623728159,0.1225,0.153123728159
0.0322,0.125,0.15063420895,0.1225,0.15313420895
0.0323,0.125,0.150644641845,0.1225,0.153144641845
0.0324,0.125,0.150655026983,0.1225,0.153155026983
0.0325,0.125,0.150665364504,0.1225,0.153165364504
0.0326,0.125,0.150675654547,0.1225,0.153175654547
0.0327,0.125,0.150685897248,0.1225,0.153185897248
0.0328,0.125,0.150696092745,0.1225,0.153196092745
0.0329,0.125,0.15070624117,0.1225,0.15320624117
0.033,0.125,0.15071634266,0.1225,0.15321634266
0.0331,0.125,0.150726397345,0.1225,0.153226397345
0.0332,0.125,0.150736405357,0.1225,0.153236405357
0.0333,0.125,0.150746366828,0.1225,0.153246366828
0.0334,0.125,0.150756281885,0.1225,0.153256281885
0.0335,0.125,0.150766150658,0.1225,0.153266150658
0.0336,0.125,0.150775973274,0.1225,0.153275973274
0.0337,0.125,0.150785749858,0.1225,0.153285749858
0.0338,0.125,0.150795480536,0.1225,0.153295480536
0.0339,0.125,0.150805165431,0.1225,0.153305165431
0.034,0.125,0.150814804668,0.1225,0.153314804668
0.0341,0.125,0.150824398367,0.1225,0.153324398367
0.0342,0.125,0.150833946649,0.1225,0.153333946649
0.0343,0.125,0.150843449636,0.1225,0.153343449636
0.0344,0.125,0.150852907445,0.1225,0.153352907445
0.0345,0.125,0.150862320194,0.1225,0.153362320194
0.0346,0.125,0.150871688001,0.1225,0.153371688001
0.0347,0.125,0.150881010982,0.1225,0.153381010982
0.0348,0.125,0.150890289252,0.1225,0.153390289252
0.0349,0.125,0.150899522925,0.1225,0.153399522925
0.035,0.125,0.150908712115,0.1225,0.153408712115
0.0351,0.125,0.150917856933,0.1225,0.153417856933
0.0352,0.125,0.150926957491,0.1225,0.153426957491
0.0353,0.125,0.150936013899,0.1225,0.153436013899
0.0354,0.125,0.150945026268,0.1225,0.153445026268
0.0355,0.125,0.150953994705,0.1225,0.153453994705
0.0356,0.125,0.150962919319,0.1225,0.153462919319
0.0357,0.125,0.150971800217,0.1225,0.153471800217
0.0358,0.125,0.150980637504,0.1225,0.153480637504
0.0359,0.125,0.150989431286,0.1225,0.153489431286
0.036,0.125,0.150998181668,0.1225,0.153498181668
0.0361,0.125,0.151006888752,0.1225,0.153506888752
0.0362,0.125,0.151015552642,0.1225,0.153515552642
0.0363,0.125,0.151024173438,0.1225,0.153524173438
0.0364,0.125,0.151032751243,0.1225,0.153532751243
0.0365,0.125,0.151041286157,0.1225,0.153541286157
0.0366,0.125,0.151049778278,0.1225,0.153549778278
0.0367,0.125,0.151058227706,0.1225,0.153558227706
0.0368,0.125,0.151066634538,0.1225,0.153566634538
0.0369,0.125,0.151074998871,0.1225,0.153574998871
0.037,0.125,0.151083320802,0.1225,0.153583320802
0.0371,0.125,0.151091600426,0.1225,0.153591600426
0.0372,0.125,0.151099837837,0.1225,0.153599837837
0.0373,0.125,0.151108033129,0.1225,0.153608033129
0.0374,0.125,0.151116186396,0.1225,0.153616186396
0.0375,0.125,0.151124297731,0.1225,0.153624297731
0.0376,0.125,0.151132367224,0.1225,0.153632367224
0.0377,0.125,0.151140394966,0.1225,0.153640394966
0.0378,0.125,0.151148381048,0.1225,0.153648381048
0.0379,0.125,0.15115632556,0.1225,0.15365632556
0.038,0.125,0.15116422859,0.1225,0.15366422859
0.0381,0.125,0.151172090225,0.1225,0.153672090225
0.0382,0.125,0.151179910554,0.1225,0.153679910554
0.0383,0.125,0.151187689663,0.1225,0.153687689663
0.0384,0.125,0.151195427638,0.1225,0.153695427638
0.0385,0.125,0.151203124564,0.1225,0.153703124564
0.0386,0.125,0.151210780526,0.1225,0.153710780526
0.0387,0.125,0.151218395607,0.1225,0.153718395607
0.0388,0.125,0.151225969891,0.1225,0.153725969891
0.0389,0.125,0.151233503461,0.1225,0.153733503461
0.039,0.125,0.151240996397,0.1225,0.153740996397
0.0391,0.125,0.151248448782,0.1225,0.153748448782
0.0392,0.125,0.151255860696,0.1225,0.153755860696
0.0393,0.125,0.151263232218,0.1225,0.153763232218
0.0394,0.125,0.151270563429,0.1225,0.153770563429
0.0395,0.125,0.151277854406,0.1225,0.153777854406
0.0396,0.125,0.151285105228,0.1225,0.153785105228
0.0397,0.125,0.151292315971,0.1225,0.153792315971
0.0398,0.125,0.151299486714,0.1225,0.153799486714
0.0399,0.125,0.151306617531,0.1225,0.153806617531
0.04,0.125,0.151313708499,0.1225,0.153813708499
0.0401,0.125,0.151320759692,0.1225,0.153820759692
0.0402,0.125,0.151327771184,0.1225,0.153827771184
0.0403,0.125,0.15133474305,0.1225,0.15383474305
0.0404,0.125,0.151341675361,0.1225,0.153841675361
0.0405,0.125,0.151348568192,0.1225,0.153848568192
0.0406,0.125,0.151355421613,0.1225,0.153855421613
0.0407,0.125,0.151362235695,0.1225,0.153862235695
0.0408,0.125,0.151369010511,0.1225,0.153869010511
0.0409,0.125,0.151375746129,0.1225,0.153875746129
0.041,0.125,0.15138244262,0.1225,0.15388244262
