eta,surface,source,x_over_c,Cp
0.65,upper,cfd,0.1835915446281433,-0.7376740574836731
0.65,upper,cfd,0.2319263070821762,-0.6682096719741821
0.65,upper,cfd,0.28897467255592346,-0.6418488621711731
0.65,upper,cfd,0.3540314733982086,-0.6220175623893738
0.65,upper,cfd,0.4253067374229431,-0.5562715530395508
0.65,upper,cfd,0.5,-0.42006370425224304
0.65,upper,cfd,0.5746932625770569,-0.2621604800224304
0.65,upper,cfd,0.6459684371948242,-0.14864757657051086
0.65,upper,cfd,0.7110252380371094,-0.08396578580141068
0.65,upper,cfd,0.7680736184120178,-0.03997236117720604
0.65,upper,cfd,0.8164084553718567,0.0005366519326344132
0.65,upper,cfd,0.856223464012146,0.04124794527888298
0.65,upper,cfd,0.8883072733879089,0.08029848337173462
0.65,upper,cfd,0.9137421250343323,0.11544112861156464
0.65,upper,cfd,0.9336758852005005,0.14553193747997284
0.65,upper,cfd,0.9491836428642273,0.17010553181171417
0.65,upper,cfd,0.9611977934837341,0.18955881893634796
0.65,upper,cfd,0.9704890251159668,0.20492319762706757
0.65,upper,cfd,0.9776741862297058,0.21743439137935638
0.65,upper,cfd,0.9832360744476318,0.22783540189266205
0.65,upper,cfd,0.9875468015670776,0.2365320324897766
0.65,upper,cfd,0.9908901453018188,0.2438039630651474
0.65,upper,cfd,0.9934810996055603,0.249874547123909
0.65,upper,cfd,0.9954813718795776,0.2550569176673889
0.65,upper,cfd,0.9970118999481201,0.25957322120666504
0.65,upper,cfd,0.9981621503829956,0.2636517882347107
0.65,upper,cfd,0.9989975094795227,0.2669984996318817
0.65,upper,cfd,0.9995640516281128,0.2702179253101349
0.65,upper,cfd,0.9998924136161804,0.2716371715068817
0.65,upper,cfd,1.0,0.2721163034439087
0.65,upper,tunnel,0.00042,0.752
0.65,upper,tunnel,0.00222,0.325
0.65,upper,tunnel,0.00914,-0.324
0.65,upper,tunnel,0.02036,-0.918
0.65,upper,tunnel,0.03508,-1.181
0.65,upper,tunnel,0.06022,-1.14
0.65,upper,tunnel,0.10029,-1.031
0.65,upper,tunnel,0.15032,-0.941
0.65,upper,tunnel,0.20029,-0.544
0.65,upper,tunnel,0.25024,-0.594
0.65,upper,tunnel,0.30008,-0.632
0.65,upper,tunnel,0.35024,-0.664
0.65,upper,tunnel,0.40037,-0.692
0.65,upper,tunnel,0.4501,-0.725
0.65,upper,tunnel,0.50024,-0.301
0.65,upper,tunnel,0.55042,-0.236
0.65,upper,tunnel,0.60071,-0.205
0.65,upper,tunnel,0.65026,-0.164
0.65,upper,tunnel,0.71034,-0.121
0.65,upper,tunnel,0.78008,-0.052
0.65,upper,tunnel,0.85001,0.032
0.65,upper,tunnel,0.92012,0.123
0.65,upper,tunnel,0.98611,0.227
0.65,lower,cfd,0.00010752625530585647,0.7907648086547852
0.65,lower,cfd,0.00043593524605967104,0.8150343894958496
0.65,lower,cfd,0.0010024678194895387,0.8126513957977295
0.65,lower,cfd,0.0018378577660769224,0.782811164855957
0.65,lower,cfd,0.002988080494105816,0.7283225059509277
0.65,lower,cfd,0.004518601577728987,0.6494935750961304
0.65,lower,cfd,0.006518789567053318,0.5462955832481384
0.65,lower,cfd,0.009109747596085072,0.4200030565261841
0.65,lower,cfd,0.012453055940568447,0.2776657044887543
0.65,lower,cfd,0.016763851046562195,0.13643839955329895
0.65,lower,cfd,0.022325731813907623,0.029213061556220055
0.65,lower,cfd,0.029511084780097008,-0.01862962171435356
0.65,lower,cfd,0.03880223631858826,-0.019298521801829338
0.65,lower,cfd,0.05081627517938614,-0.01153371762484312
0.65,lower,cfd,0.06632404029369354,-0.023623939603567123
0.65,lower,cfd,0.08625787496566772,-0.05217544734477997
0.65,lower,cfd,0.11169254034757614,-0.08458857238292694
0.65,lower,cfd,0.14377643167972565,-0.11684989929199219
0.65,lower,cfd,0.1835915446281433,-0.14897960424423218
0.65,lower,cfd,0.2319263070821762,-0.18239428102970123
0.65,lower,cfd,0.28897467255592346,-0.21869933605194092
0.65,lower,cfd,0.3540314733982086,-0.25299566984176636
0.65,lower,cfd,0.4253067374229431,-0.2718310058116913
0.65,lower,cfd,0.5,-0.26340121030807495
0.65,lower,cfd,0.5746932625770569,-0.2251424491405487
0.65,lower,cfd,0.6459684371948242,-0.16819512844085693
0.65,lower,cfd,0.7110252380371094,-0.11126234382390976
0.65,lower,cfd,0.7680736184120178,-0.06436790525913239
0.65,lower,cfd,0.8164084553718567,-0.02476164884865284
0.65,lower,cfd,0.856223464012146,0.013665162026882172
0.65,lower,cfd,0.8883072733879089,0.05231129378080368
0.65,lower,cfd,0.9137421250343323,0.08871733397245407
0.65,lower,cfd,0.9336758852005005,0.12087611854076385
0.65,lower,cfd,0.9491836428642273,0.1479935348033905
0.65,lower,cfd,0.9611977934837341,0.16994640231132507
0.65,lower,cfd,0.9704890251159668,0.18770046532154083
