# T_hi_c: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
70500	6.485762144e+01	0.242229591	2.613139112e-01	no
71000	6.484351622e+01	0.242307024	2.611832629e-01	no
71500	6.485147869e+01	0.242355977	2.612006442e-01	no
72000	6.485476991e+01	0.242366175	2.612015111e-01	no
72500	6.485806814e+01	0.242372848	2.612047742e-01	no
73000	6.486179420e+01	0.242365972	2.612146883e-01	no
73500	6.486592456e+01	0.242346412	2.612315902e-01	no
74000	6.487018436e+01	0.242312768	2.612561603e-01	no
74500	6.487428324e+01	0.242263640	2.612884883e-01	no
75000	6.485361881e+01	0.242344143	2.612127981e-01	no
75500	6.485637618e+01	0.242342891	2.612124400e-01	no
76000	6.485921732e+01	0.242348578	2.612194536e-01	no
76500	6.486239081e+01	0.242336910	2.612302655e-01	no
77000	6.486574561e+01	0.242315657	2.612468500e-01	no
77500	6.486900759e+01	0.242282966	2.612692395e-01	no
78000	6.487191491e+01	0.242238703	2.612968002e-01	no
78500	6.487407290e+01	0.242184161	2.613285388e-01	no
79000	6.485499195e+01	0.242235552	2.612667196e-01	no
79500	6.485613720e+01	0.242260875	2.612723467e-01	no
80000	6.485337222e+01	0.242234232	2.612576970e-01	no
80500	6.485284237e+01	0.242261300	2.612547597e-01	no
81000	6.485273410e+01	0.242271007	2.612462661e-01	no
81500	6.485291473e+01	0.242287053	2.612391745e-01	no
82000	6.485351188e+01	0.242300591	2.612332910e-01	no
82500	6.485456966e+01	0.242311970	2.612293715e-01	no
83000	6.485608916e+01	0.242319266	2.612283514e-01	no
83500	6.485802834e+01	0.242320877	2.612309541e-01	no
84000	6.486029500e+01	0.242315486	2.612376960e-01	no
84500	6.486274462e+01	0.242302052	2.612486964e-01	no
85000	6.486517986e+01	0.242280108	2.612640666e-01	no
85500	6.486736524e+01	0.242249926	2.612832256e-01	no
86000	6.486903522e+01	0.242212543	2.613052205e-01	no
86500	6.486991704e+01	0.242169888	2.613285974e-01	no
87000	6.486981324e+01	0.242124194	2.613517588e-01	no
87500	6.486845577e+01	0.242079125	2.613724391e-01	no
88000	6.486577108e+01	0.242037049	2.613886551e-01	no
88500	6.485867331e+01	0.242191999	2.612675119e-01	no
89000	6.486100800e+01	0.242169599	2.613140761e-01	no
89500	6.485987869e+01	0.242159888	2.613146327e-01	no
90000	6.485819196e+01	0.242152839	2.613166441e-01	no
90500	6.485591708e+01	0.242149822	2.613138806e-01	no
91000	6.485322102e+01	0.242155595	2.613060570e-01	no
91500	6.485028819e+01	0.242171000	2.612930191e-01	no
92000	6.484735205e+01	0.242196736	2.612747109e-01	no
92500	6.484468998e+01	0.242232635	2.612518638e-01	no
93000	6.484258012e+01	0.242277681	2.612255317e-01	no
93500	6.484130965e+01	0.242329901	2.611970799e-01	no
94000	6.484113308e+01	0.242386960	2.611680903e-01	no
94500	6.484934715e+01	0.242382551	2.611863297e-01	no
95000	6.485650440e+01	0.242370829	2.611974809e-01	no
95500	6.486061253e+01	0.242375373	2.612088468e-01	no
96000	6.486482920e+01	0.242357339	2.612241505e-01	no
96500	6.486925141e+01	0.242327642	2.612468842e-01	no
97000	6.487363399e+01	0.242282158	2.612779515e-01	no
97500	6.485952985e+01	0.242345688	2.612218844e-01	no
98000	6.486222593e+01	0.242338301	2.612302601e-01	no
98500	6.486519289e+01	0.242315449	2.612460712e-01	no
99000	6.486829776e+01	0.242284974	2.612668735e-01	no
99500	6.487111876e+01	0.242243554	2.612929742e-01	no
100000	6.487326388e+01	0.242191958	2.613230557e-01	no
100500	6.487444918e+01	0.242131932	2.613559895e-01	no
101000	6.485710041e+01	0.242237930	2.612291618e-01	no
101500	6.485664412e+01	0.242243702	2.612110711e-01	no
102000	6.484769795e+01	0.242249874	2.612578025e-01	no
102500	6.484781873e+01	0.242275537	2.612354866e-01	no
103000	6.484764009e+01	0.242307280	2.612199403e-01	no
103500	6.484803980e+01	0.242339045	2.612042601e-01	no
104000	6.484935039e+01	0.242369234	2.611913280e-01	no
104500	6.485166523e+01	0.242394116	2.611828409e-01	no
105000	6.485498668e+01	0.242410848	2.611803146e-01	no
105500	6.485930598e+01	0.242415671	2.611854057e-01	no
106000	6.486414125e+01	0.242324455	2.613401084e-01	no
