x_over_h,Cf
4.540038044449749677e+00,-4.491115162671451347e-03
4.620114133348705465e+00,-4.359323066208372136e-03
4.700190222247430327e+00,-4.223591580374267372e-03
4.780266311146389668e+00,-4.084607765414391238e-03
4.860342400045345457e+00,-3.943024668073919804e-03
4.940418488944299469e+00,-3.799456618762334439e-03
5.020494577843120254e+00,-3.654477809056323832e-03
5.100570666741949921e+00,-3.508627267674424999e-03
5.180646755641355128e+00,-3.362416456563703960e-03
5.260722844540440590e+00,-3.216351000372233600e-03
5.340798933439089957e+00,-3.070933377133352842e-03
5.420875022338044857e+00,-2.926640796543503349e-03
5.500951111237000646e+00,-2.783915047965814134e-03
5.581027200135959987e+00,-2.643146451492982187e-03
5.661103289034913999e+00,-2.504675837301995143e-03
5.741179377933725014e+00,-2.368806856848661678e-03
5.821255466832559122e+00,-2.235815369558283652e-03
5.901331555731969658e+00,-2.106001385927627235e-03
5.981407644631049791e+00,-1.979666567252299537e-03
6.061483733529700046e+00,-1.857134973219691553e-03
6.141559822428659388e+00,-1.738717282736832728e-03
6.221635911327619617e+00,-1.624769520582989993e-03
6.301712000226574517e+00,-1.515640902580524816e-03
6.381788089125465468e+00,-1.411849555373194441e-03
6.461864178024205430e+00,-1.313960758096871170e-03
6.541940266923584879e+00,-1.222940450865189202e-03
6.622016355822760048e+00,-1.139910010493275358e-03
6.702092444721355236e+00,-1.066632795909502451e-03
6.782168533620309248e+00,-1.005643607017565628e-03
6.862244622519270365e+00,-9.593882596755748090e-04
6.942320711418229706e+00,-9.340013134737075538e-04
7.022396800317175725e+00,-9.225876028484491067e-04
7.102432630808490188e+00,-9.659842110346026885e-04
7.182130467824700659e+00,-9.766736600703047888e-04
7.260935711462215281e+00,-9.514942977911073057e-04
7.338315743157900251e+00,-9.068786587443827861e-04
7.413870311588814488e+00,-8.067904371474499039e-04
7.487334902861634944e+00,-6.583872454319136943e-04
7.558568295044535645e+00,-4.382157419575077395e-04
7.627598652518029709e+00,-1.104202168957947578e-04
7.694704907575180108e+00,3.442665679838584326e-04
7.760307539329774684e+00,9.347838764159761534e-04
7.824818146182605183e+00,1.656183066813198294e-03
7.888630149393584645e+00,2.503950944834560429e-03
7.952093860253924618e+00,3.395964181172496290e-03
8.015365038968429445e+00,4.284997670602739596e-03
8.078383522380164550e+00,5.238843203310069273e-03
8.141033533630654517e+00,6.315425646381520736e-03
8.203202921681445048e+00,7.617085946076388239e-03
8.264783691684559841e+00,9.314202601941242235e-03
8.325798764502419402e+00,1.184631818267060238e-02
8.386702300256819953e+00,1.542547445260686843e-02
8.448311186826231278e+00,2.000459117278464288e-02
8.511553209438986300e+00,2.623186910362473173e-02
8.577513585928805639e+00,3.375022381698545432e-02
8.647435902132521335e+00,4.127134369382330636e-02
8.722026876267655382e+00,3.887807452905401445e-02
8.800199082163629782e+00,2.680003201639579585e-02
8.879908870792579734e+00,1.391485062057639006e-02
8.959961955550520329e+00,8.937648306640354895e-03
