# Region            : cellZone gateZoneInner
# Cells             : 590
# Volume            : 1.015917205418e-04
# Time              	volAverage(Ma)	volAverage(T)	volAverage(rho)	volAverage(p)
0.0040514369        	1.874675334197e+00	3.821075755997e+02	2.278434191786e+00	2.499529741387e+05
0.0040525564        	1.874668866420e+00	3.821076880322e+02	2.278417697549e+00	2.499512382571e+05
0.0040536755        	1.874661546396e+00	3.821073804689e+02	2.278397543355e+00	2.499488263811e+05
0.0040547805        	1.874654076209e+00	3.821066163048e+02	2.278374140869e+00	2.499457591588e+05
0.0040558886        	1.874646545458e+00	3.821054633736e+02	2.278348411682e+00	2.499421824088e+05
0.0040569867        	1.874640295022e+00	3.821041217590e+02	2.278323283093e+00	2.499385488152e+05
0.0040580901        	1.874636272163e+00	3.821029324604e+02	2.278303334917e+00	2.499355842906e+05
0.0040592119        	1.874634496664e+00	3.821019881777e+02	2.278290407182e+00	2.499335513083e+05
0.0040603375        	1.874634739139e+00	3.821011736260e+02	2.278282725823e+00	2.499321782253e+05
0.0040614639        	1.874636217870e+00	3.821002944466e+02	2.278277891439e+00	2.499310746018e+05
0.0040625902        	1.874639119051e+00	3.820995485716e+02	2.278278252321e+00	2.499306273448e+05
0.0040637127        	1.874644185813e+00	3.820991002990e+02	2.278285587124e+00	2.499311390780e+05
0.0040648366        	1.874650897113e+00	3.820989609355e+02	2.278300025451e+00	2.499326313948e+05
0.0040659605        	1.874657994512e+00	3.820990215301e+02	2.278318788905e+00	2.499347293553e+05
0.0040670847        	1.874664171373e+00	3.820988425620e+02	2.278334966176e+00	2.499363877775e+05
0.0040682039        	1.874668452895e+00	3.820982117496e+02	2.278344319583e+00	2.499370031690e+05
0.0040693223        	1.874671529355e+00	3.820973655416e+02	2.278349328899e+00	2.499370011343e+05
0.0040704423        	1.874674857655e+00	3.820965096312e+02	2.278353699223e+00	2.499369218572e+05
0.0040715597        	1.874678225998e+00	3.820958480968e+02	2.278359902221e+00	2.499371703191e+05
0.0040726721        	1.874681688544e+00	3.820952049978e+02	2.278365540272e+00	2.499373677458e+05
0.004073776         	1.874684241395e+00	3.820945436798e+02	2.278368592518e+00	2.499372694096e+05
0.0040748865        	1.874685809652e+00	3.820937435361e+02	2.278366318461e+00	2.499364948767e+05
0.0040759838        	1.874687074476e+00	3.820931130364e+02	2.278362360567e+00	2.499356465183e+05
0.0040770911        	1.874688791446e+00	3.820929686894e+02	2.278361816668e+00	2.499354913286e+05
0.0040782175        	1.874691740268e+00	3.820933475094e+02	2.278365559712e+00	2.499361494858e+05
0.0040793441        	1.874695124300e+00	3.820941971143e+02	2.278373083089e+00	2.499375305315e+05
0.00408047          	1.874697854205e+00	3.820952498483e+02	2.278380428885e+00	2.499390243730e+05
0.0040815976        	1.874699969579e+00	3.820965152342e+02	2.278387272787e+00	2.499406022695e+05
