# Region type : patch outlet
# Faces         : 24
# Area          : 6.97245941e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.00018603155   	3.18015625e-04
0.00018656486   	3.18441137e-04
0.00018709773   	3.18860770e-04
0.0001876302    	3.19281947e-04
0.00018816221   	3.19706263e-04
0.00018869382   	3.20133351e-04
0.00018922505   	3.20558508e-04
0.00018975591   	3.20978881e-04
0.00019028645   	3.21391077e-04
0.00019081679   	3.21794538e-04
0.00019134687   	3.22193605e-04
0.00019187652   	3.22593190e-04
0.00019240575   	3.22995985e-04
0.0001929346    	3.23401866e-04
0.00019346312   	3.23808185e-04
0.00019399183   	3.24212209e-04
0.00019452065   	3.24613491e-04
0.00019504914   	3.25009308e-04
0.00019557702   	3.25394166e-04
0.00019610434   	3.25773263e-04
0.0001966312    	3.26152201e-04
0.00019715773   	3.26533338e-04
0.00019768513   	3.26918385e-04
0.00019821305   	3.27305451e-04
0.00019874079   	3.27689607e-04
0.00019926774   	3.28068162e-04
0.00019979384   	3.28438874e-04
0.00020031932   	3.28801963e-04
0.00020084438   	3.29160363e-04
0.00020136916   	3.29517946e-04
0.00020189368   	3.29876832e-04
0.00020241795   	3.30235705e-04
0.00020294197   	3.30601693e-04
0.00020346576   	3.30964918e-04
0.00020398933   	3.31324284e-04
0.00020451271   	3.31676186e-04
0.00020503586   	3.32019387e-04
0.00020555882   	3.32356432e-04
0.00020608155   	3.32692746e-04
0.00020660409   	3.33032453e-04
0.00020712646   	3.33376477e-04
0.00020764863   	3.33720095e-04
0.00020817064   	3.34064358e-04
0.00020869245   	3.34401749e-04
0.0002092141    	3.34729028e-04
0.00020973558   	3.35048091e-04
0.00021025687   	3.35365416e-04
0.00021077799   	3.35686340e-04
0.00021129894   	3.36013069e-04
0.00021181972   	3.36343996e-04
0.00021234037   	3.36674109e-04
0.00021286085   	3.36997132e-04
0.0002133812    	3.37309284e-04
0.0002139014    	3.37613188e-04
0.00021442144   	3.37914883e-04
0.00021494134   	3.38220819e-04
0.00021546108   	3.38533547e-04
0.00021598068   	3.38850788e-04
0.00021650016   	3.39166443e-04
0.00021701951   	3.39473928e-04
0.00021753872   	3.39770170e-04
0.0002180578    	3.40058592e-04
0.00021857673   	3.40346892e-04
0.00021909553   	3.40641054e-04
0.00021961422   	3.40942575e-04
0.0002201328    	3.41247228e-04
0.00022065127   	3.41547919e-04
0.0002211696    	3.41839428e-04
0.00022168782   	3.42121054e-04
0.0002222059    	3.42397621e-04
0.0002227239    	3.42676322e-04
0.00022324179   	3.42961782e-04
0.00022375958   	3.43253821e-04
0.00022427725   	3.43544326e-04
0.00022479481   	3.43830384e-04
0.00022531226   	3.44109387e-04
0.00022582964   	3.44374632e-04
0.00022634692   	3.44642694e-04
0.0002268641    	3.44913624e-04
0.00022738117   	3.45192877e-04
0.00022789813   	3.45478025e-04
0.00022841501   	3.45756328e-04
0.00022893181   	3.46027838e-04
0.00022944852   	3.46288802e-04
0.00022996513   	3.46548089e-04
0.00023048165   	3.46806911e-04
0.00023099806   	3.47073392e-04
0.0002315144    	3.47346088e-04
0.00023203067   	3.47617057e-04
0.0002325469    	3.47883320e-04
0.00023306301   	3.48141076e-04
0.00023357904   	3.48388779e-04
0.00023409499   	3.48637502e-04
0.00023461086   	3.48892336e-04
0.00023512665   	3.49154221e-04
0.00023564235   	3.49420653e-04
0.00023615798   	3.49680620e-04
0.00023667352   	3.49928750e-04
0.00023718901   	3.50169193e-04
0.00023770441   	3.50406820e-04
0.00023821979   	3.50650886e-04
0.00023873514   	3.50903574e-04
0.00023925041   	3.51160564e-04
0.00023976557   	3.51413199e-04
0.00024028065   	3.51657803e-04
0.00024079562   	3.51893618e-04
0.00024131051   	3.52125986e-04
0.00024182534   	3.52362577e-04
0.0002423401    	3.52606089e-04
0.0002428548    	3.52853571e-04
0.00024336941   	3.53099052e-04
0.00024388398   	3.53336368e-04
0.00024439848   	3.53561460e-04
0.00024491297   	3.53782493e-04
0.00024542742   	3.54010587e-04
0.00024594179   	3.54246998e-04
0.00024645617   	3.54487587e-04
0.00024697054   	3.54726117e-04
0.0002474848    	3.54958606e-04
0.00024799896   	3.55180996e-04
0.00024851304   	3.55399207e-04
0.00024902708   	3.55622615e-04
0.00024954116   	3.55839589e-04
0.00025005521   	3.56070800e-04
