Fo,x_star,y_star,z_star,theta_solved,theta_analytic,difference
0.2,0.68125000,0.00625000,0.00625000,0.7356846827,0.7356882482,-3.565e-06
0.2,0.69375000,0.00625000,0.00625000,0.7308532279,0.7308564836,-3.256e-06
0.2,0.70625000,0.00625000,0.00625000,0.7259210117,0.7259239640,-2.952e-06
0.2,0.71875000,0.00625000,0.00625000,0.7208879459,0.7208906015,-2.656e-06
0.2,0.73125000,0.00625000,0.00625000,0.7157539850,0.7157563509,-2.366e-06
0.2,0.74375000,0.00625000,0.00625000,0.7105191271,0.7105212109,-2.084e-06
0.2,0.75625000,0.00625000,0.00625000,0.7051834154,0.7051852249,-1.810e-06
0.2,0.76875000,0.00625000,0.00625000,0.6997469390,0.6997484824,-1.543e-06
0.2,0.78125000,0.00625000,0.00625000,0.6942098337,0.6942111195,-1.286e-06
0.2,0.79375000,0.00625000,0.00625000,0.6885722835,0.6885733203,-1.037e-06
0.2,0.80625000,0.00625000,0.00625000,0.6828345207,0.6828353177,-7.970e-07
0.2,0.81875000,0.00625000,0.00625000,0.6769968272,0.6769973938,-5.666e-07
0.2,0.83125000,0.00625000,0.00625000,0.6710595351,0.6710598808,-3.457e-07
0.2,0.84375000,0.00625000,0.00625000,0.6650230271,0.6650231618,-1.347e-07
0.2,0.85625000,0.00625000,0.00625000,0.6588877374,0.6588876710,+6.634e-08
0.2,0.86875000,0.00625000,0.00625000,0.6526541516,0.6526538944,+2.572e-07
0.2,0.88125000,0.00625000,0.00625000,0.6463228076,0.6463223700,+4.376e-07
0.2,0.89375000,0.00625000,0.00625000,0.6398942957,0.6398936882,+6.075e-07
0.2,0.90625000,0.00625000,0.00625000,0.6333692587,0.6333684920,+7.668e-07
0.2,0.91875000,0.00625000,0.00625000,0.6267483923,0.6267474770,+9.153e-07
0.2,0.93125000,0.00625000,0.00625000,0.6200324447,0.6200313917,+1.053e-06
0.2,0.94375000,0.00625000,0.00625000,0.6132222171,0.6132210373,+1.180e-06
0.2,0.95625000,0.00625000,0.00625000,0.6063185630,0.6063172672,+1.296e-06
0.2,0.96875000,0.00625000,0.00625000,0.5993223885,0.5993209877,+1.401e-06
0.2,0.98125000,0.00625000,0.00625000,0.5922346517,0.5922331568,+1.495e-06
0.2,0.99375000,0.00625000,0.00625000,0.5850563623,0.5850547841,+1.578e-06
