# case: /home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2/mp04
# time_directory: 2000.0
# case_type: Decomposed Case
# patch: patch/wing
# eta: 0.20
# plane_origin: (0.000000, 0.753334, 0.000000)
# plane_normal: (0, 1, 0)
# halfspan_b_over_2_m: 3.766668
# polylines_returned: 1
# points_kept: 137
x,y,z
0.9209553003,0.7533336282,-0.07254170626
0.9424302578,0.7533336282,-0.07434604317
0.9643996358,0.7533336282,-0.07594659925
0.98688519,0.7533336282,-0.07732981443
1.009907126,0.7533336282,-0.07849280536
1.03348887,0.7533336282,-0.07942380756
1.057654023,0.7533336282,-0.08011560142
1.082429886,0.7533336282,-0.08055458963
1.10784626,0.7533336282,-0.08073171228
1.133935094,0.7533336282,-0.08062870055
1.160732269,0.7533336282,-0.08022644371
1.187311053,0.7533336282,-0.07953882962
1.213871837,0.7533336282,-0.07856311649
1.240416408,0.7533336282,-0.07730772346
1.266945362,0.7533336282,-0.07577563822
1.293457866,0.7533336282,-0.07397314161
1.319952965,0.7533336282,-0.07191151381
1.346429348,0.7533336282,-0.06960108876
1.3728863,0.7533336282,-0.06706188619
1.399324179,0.7533336282,-0.06431574374
1.425743818,0.7533336282,-0.06139144301
1.452148318,0.7533336282,-0.05832449719
1.478541136,0.7533336282,-0.05515175685
1.504926443,0.7533336282,-0.05191553012
1.531309009,0.7533336282,-0.04865437001
1.557693124,0.7533336282,-0.04540642351
1.5840832,0.7533336282,-0.04220340773
1.610484004,0.7533336282,-0.03907894716
1.636900425,0.7533336282,-0.03607406095
1.663339615,0.7533336282,-0.03325694054
1.689810395,0.7533336282,-0.03073405661
1.716320992,0.7533336282,-0.02866639569
1.742673397,0.7533336282,-0.02728074044
1.765152097,0.7533336282,-0.02682792023
1.783336043,0.7533336282,-0.02711241692
1.79529798,0.7533336282,-0.02770635299
1.802932501,0.7533336282,-0.02830007486
1.807803631,0.7533336282,-0.0287862625
1.810911536,0.7533336282,-0.02914802358
1.81289506,0.7533336282,-0.02940599993
1.814160585,0.7533336282,-0.02958567627
