[mega-batch] resuming: 24076 indices already in ledger
[mega-batch] #24269 reduced-order ok 0.001s (session 193)
[mega-batch] #24268 vspaero-wing ok 5.928s (session 194)
[mega-batch] #24270 openfoam-cylinder ok 7.021s (session 195)
[mega-batch] #24272 reduced-order ok 0.001s (session 196)
[mega-batch] #24271 vspaero-wing ok 5.872s (session 197)
[mega-batch] #24273 openfoam-cylinder ok 3.537s (session 198)
[mega-batch] #24275 reduced-order ok 0.001s (session 199)
[mega-batch] #24274 vspaero-wing ok 5.843s (session 200)
[mega-batch] #24276 openfoam-cylinder ok 6.173s (session 201)
[mega-batch] #24278 reduced-order ok 0.001s (session 202)
[mega-batch] #24279 openfoam-cylinder ok 4.214s (session 203)
[mega-batch] #24277 vspaero-wing ok 5.909s (session 204)
[mega-batch] #24281 reduced-order ok 0.0s (session 205)
[mega-batch] #24282 openfoam-cylinder ok 2.185s (session 206)
[mega-batch] #24280 vspaero-wing ok 5.627s (session 207)
[mega-batch] #24284 reduced-order ok 0.001s (session 208)
[mega-batch] #24283 vspaero-wing ok 5.489s (session 209)
[mega-batch] #24285 openfoam-cylinder ok 3.592s (session 210)
[mega-batch] #24287 reduced-order ok 0.001s (session 211)
[mega-batch] #24288 openfoam-cylinder ok 2.382s (session 212)
[mega-batch] #24286 vspaero-wing ok 5.647s (session 213)
[mega-batch] #24290 reduced-order ok 0.001s (session 214)
[mega-batch] #24289 vspaero-wing ok 5.742s (session 215)
[mega-batch] #24291 openfoam-cylinder ok 5.58s (session 216)
[mega-batch] #24293 reduced-order ok 0.002s (session 217)
[mega-batch] #24292 vspaero-wing ok 5.793s (session 218)
[mega-batch] #24294 openfoam-cylinder ok 3.534s (session 219)
[mega-batch] #24296 reduced-order ok 0.0s (session 220)
[mega-batch] #24297 openfoam-cylinder ok 2.701s (session 221)
[mega-batch] #24295 vspaero-wing ok 5.841s (session 222)
[mega-batch] #24299 reduced-order ok 0.0s (session 223)
[mega-batch] #24298 vspaero-wing ok 5.595s (session 224)
[mega-batch] #24300 openfoam-cylinder ok 3.49s (session 225)
[mega-batch] #24302 reduced-order ok 0.0s (session 226)
[mega-batch] #24303 openfoam-cylinder ok 2.88s (session 227)
