time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
1.31	10.212	0.337	0.26347
1.315	10.207	0.44819	0.3174
1.32	10.293	0.51186	0.34829
1.325	10.335	0.5743	0.37857
1.33	10.247	0.4327	0.30989
1.335	10.219	0.38272	0.28565
1.34	10.317	0.41263	0.30015
1.345	10.476	0.41616	0.30187
1.35	10.47	0.35375	0.27159
1.355	10.385	0.40063	0.29433
1.36	10.414	0.43443	0.31073
1.365	10.515	0.50361	0.34429
1.37	10.49	0.41933	0.3034
1.375	10.375	0.47899	0.33235
1.38	10.257	0.63318	0.40714
1.385	10.189	0.61327	0.39748
1.39	10.211	0.49578	0.34049
1.395	10.237	0.48777	0.33661
1.4	10.226	0.53338	0.35873
1.405	10.236	0.54321	0.36349
1.41	10.262	0.5865	0.3845
1.415	10.247	0.5399	0.36189
1.42	10.22	0.50475	0.34484
1.425	10.142	0.55639	0.36989
1.43	10.133	0.61905	0.40028
1.435	10.154	0.51787	0.3512
1.44	10.155	0.46745	0.32675
1.445	10.154	0.58243	0.38252
1.45	10.264	0.59313	0.38771
1.455	10.338	0.58775	0.3851
1.46	10.396	0.56508	0.3741
1.465	10.353	0.52662	0.35545
1.47	10.248	0.48481	0.33517
1.475	10.089	0.39003	0.28919
1.48	9.9855	0.36826	0.27863
1.485	9.9947	0.41616	0.30187
1.49	10.123	0.4895	0.33744
1.495	10.264	0.59425	0.38825
1.5	10.414	0.66688	0.42349
1.505	10.512	0.63471	0.40788
1.51	10.487	0.55647	0.36993
1.515	10.437	0.52936	0.35677
1.52	10.355	0.42624	0.30676
1.525	10.314	0.42226	0.30483
1.53	10.253	0.53452	0.35928
1.535	10.166	0.61888	0.4002
1.54	10.109	0.48287	0.33423
1.545	10.11	0.42779	0.30751
1.55	10.227	0.40308	0.29552
1.555	10.307	0.43397	0.31051
1.56	10.271	0.35329	0.27137
1.565	10.293	0.3749	0.28185
1.57	10.327	0.46496	0.32554
1.575	10.256	0.4589	0.3226
1.58	10.166	0.39355	0.2909
1.585	10.153	0.39819	0.29315
1.59	10.271	0.45448	0.32045
1.595	10.325	0.48171	0.33366
1.6	10.223	0.46229	0.32425
1.605	10.128	0.51523	0.34992
1.61	10.101	0.47838	0.33205
1.615	10.095	0.43483	0.31092
1.62	10.174	0.54299	0.36339
1.625	10.29	0.60429	0.39312
1.63	10.277	0.51079	0.34777
1.635	10.236	0.40956	0.29867
1.64	10.289	0.4065	0.29718
1.645	10.326	0.48453	0.33503
1.65	10.326	0.5187	0.35161
1.655	10.339	0.49151	0.33842
1.66	10.303	0.45442	0.32042
1.665	10.252	0.5933	0.38779
1.67	10.181	0.61289	0.39729
1.675	10.167	0.55054	0.36705
1.68	10.133	0.48892	0.33716
1.685	10.182	0.4877	0.33657
1.69	10.232	0.40056	0.2943
1.695	10.285	0.41379	0.30072
1.7	10.328	0.36094	0.27508
1.705	10.297	0.43155	0.30933
1.71	10.171	0.51966	0.35207
1.715	10.15	0.39396	0.2911
1.72	10.127	0.32786	0.25904
1.725	10.05	0.33631	0.26313
1.73	10.053	0.41658	0.30207
1.735	10.171	0.54481	0.36427
1.74	10.305	0.63448	0.40777
1.745	10.346	0.54278	0.36329
1.75	10.295	0.49877	0.34194
1.755	10.157	0.55409	0.36877
1.76	10.079	0.60954	0.39567
1.765	10.137	0.59349	0.38789
1.77	10.209	0.45872	0.32251
1.775	10.241	0.45876	0.32253
1.78	10.184	0.46162	0.32392
1.785	10.122	0.54197	0.36289
1.79	10.125	0.5061	0.3455
1.795	10.209	0.53256	0.35833
1.8	10.378	0.46367	0.32491
1.805	10.473	0.42487	0.30609
1.81	10.508	0.47121	0.32857
1.815	10.567	0.58896	0.38569
1.82	10.51	0.66273	0.42147
1.825	10.401	0.68572	0.43262
1.83	10.243	0.47505	0.33043
1.835	10.187	0.38498	0.28674
1.84	10.251	0.34876	0.26917
1.845	10.279	0.38215	0.28537
1.85	10.314	0.44765	0.31714
1.855	10.369	0.50476	0.34484
1.86	10.277	0.46631	0.32619
1.865	10.156	0.48449	0.33501
1.87	10.135	0.42737	0.3073
1.875	10.149	0.4194	0.30344
1.88	10.143	0.45714	0.32175
1.885	10.149	0.46577	0.32593
1.89	10.213	0.43322	0.31014
1.895	10.282	0.40923	0.2985
1.9	10.358	0.45868	0.32249
1.905	10.376	0.44719	0.31692
1.91	10.333	0.39564	0.29191
1.915	10.232	0.43216	0.30963
1.92	10.191	0.49004	0.3377
1.925	10.26	0.41718	0.30236
1.93	10.334	0.36141	0.27531
1.935	10.306	0.33548	0.26273
1.94	10.253	0.27247	0.23217
1.945	10.237	0.23749	0.2152
1.95	10.248	0.31089	0.25081
1.955	10.24	0.3187	0.25459
1.96	10.226	0.38029	0.28447
1.965	10.211	0.50883	0.34682
1.97	10.183	0.46173	0.32397
1.975	10.184	0.35651	0.27293
1.98	10.278	0.39304	0.29065
1.985	10.349	0.4535	0.31998
1.99	10.368	0.47175	0.32883
1.995	10.299	0.48349	0.33453
2	10.356	0.4941	0.33967
2.005	10.497	0.40713	0.29749
2.01	10.454	0.43525	0.31113
2.015	10.268	0.52736	0.35581
2.02	10.201	0.47947	0.33258
2.025	10.212	0.50875	0.34678
2.03	10.219	0.48808	0.33675
2.035	10.317	0.43316	0.31011
2.04	10.445	0.41415	0.30089
2.045	10.45	0.49521	0.34021
2.05	10.396	0.46971	0.32784
2.055	10.347	0.47415	0.33
2.06	10.299	0.42537	0.30633
2.065	10.388	0.49147	0.3384
2.07	10.485	0.52491	0.35462
2.075	10.482	0.5518	0.36766
2.08	10.437	0.51826	0.35139
2.085	10.416	0.50188	0.34345
2.09	10.408	0.51501	0.34982
2.095	10.343	0.58092	0.38179
2.1	10.267	0.49667	0.34092
2.105	10.302	0.39506	0.29163
2.11	10.382	0.4336	0.31033
2.115	10.466	0.40914	0.29846
2.12	10.488	0.38196	0.28528
2.125	10.392	0.49502	0.34012
2.13	10.19	0.55646	0.36992
2.135	10.113	0.68858	0.43401
2.14	10.155	0.75804	0.4677
2.145	10.303	0.79678	0.4865
2.15	10.342	0.77211	0.47453
