# S_hi_c_seed100: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
86500	6.485330730e+01	0.242353126	2.612061227e-01	no
87000	6.485579566e+01	0.242364684	2.612049028e-01	no
87500	6.485894083e+01	0.242366225	2.612095780e-01	no
88000	6.486258663e+01	0.242356559	2.612207214e-01	no
88500	6.486654584e+01	0.242334496	2.612387515e-01	no
89000	6.487054070e+01	0.242298436	2.612640191e-01	no
89500	6.487424722e+01	0.242248017	2.612962448e-01	no
90000	6.486299204e+01	0.242217917	2.613233091e-01	no
90500	6.485898792e+01	0.242184627	2.613039388e-01	no
91000	6.485710646e+01	0.242181114	2.612997762e-01	no
91500	6.485531866e+01	0.242182698	2.612961964e-01	no
92000	6.485339214e+01	0.242189758	2.612889750e-01	no
92500	6.485140868e+01	0.242203959	2.612783402e-01	no
93000	6.484952886e+01	0.242224996	2.612643943e-01	no
93500	6.484794957e+01	0.242252345	2.612478132e-01	no
94000	6.484688405e+01	0.242284797	2.612295738e-01	no
94500	6.484654478e+01	0.242320367	2.612110431e-01	no
95000	6.484712392e+01	0.242356360	2.611939046e-01	no
95500	6.484874928e+01	0.242389626	2.611800076e-01	no
96000	6.485150729e+01	0.242417243	2.611710270e-01	no
96500	6.485541677e+01	0.242435536	2.611687381e-01	no
97000	6.486027366e+01	0.242318724	2.612579472e-01	no
97500	6.485911328e+01	0.242253158	2.612737702e-01	no
98000	6.485853521e+01	0.242245973	2.612690541e-01	no
98500	6.485869948e+01	0.242241789	2.612721660e-01	no
99000	6.485888341e+01	0.242235418	2.612756703e-01	no
99500	6.485893200e+01	0.242228471	2.612793076e-01	no
100000	6.485878920e+01	0.242221455	2.612826041e-01	no
100500	6.485843685e+01	0.242215270	2.612851312e-01	no
101000	6.485786707e+01	0.242210519	2.612865182e-01	no
101500	6.485708752e+01	0.242207952	2.612864190e-01	no
102000	6.485612980e+01	0.242208312	2.612845408e-01	no
102500	6.485504417e+01	0.242212130	2.612806614e-01	no
103000	6.485390692e+01	0.242219792	2.612747538e-01	no
103500	6.485281366e+01	0.242231468	2.612669805e-01	no
104000	6.485188196e+01	0.242246846	2.612576033e-01	no
104500	6.485123403e+01	0.242265198	2.612472071e-01	no
105000	6.485099320e+01	0.242285460	2.612365308e-01	no
105500	6.485127143e+01	0.242306171	2.612265456e-01	no
106000	6.485215474e+01	0.242325427	2.612183375e-01	no
106500	6.485369159e+01	0.242341141	2.612130960e-01	no
107000	6.485588047e+01	0.242350941	2.612119759e-01	no
107500	6.485865755e+01	0.242352572	2.612159956e-01	no
108000	6.486188917e+01	0.242344153	2.612258172e-01	no
108500	6.486536290e+01	0.242324278	2.612418264e-01	no
109000	6.486883085e+01	0.242292932	2.612638876e-01	no
109500	6.487199516e+01	0.242249009	2.612916629e-01	no
110000	6.487448701e+01	0.242193628	2.613243433e-01	no
110500	6.485708890e+01	0.242234226	2.612997696e-01	no
111000	6.485806131e+01	0.242240428	2.612847129e-01	no
111500	6.485510125e+01	0.242235635	2.612705488e-01	no
112000	6.485441833e+01	0.242243628	2.612638997e-01	no
112500	6.485396648e+01	0.242252680	2.612583220e-01	no
113000	6.485376438e+01	0.242263554	2.612524933e-01	no
113500	6.485384189e+01	0.242274836	2.612469255e-01	no
114000	6.485424241e+01	0.242285565	2.612421807e-01	no
114500	6.485499427e+01	0.242294621	2.612389033e-01	no
115000	6.485610236e+01	0.242300767	2.612377394e-01	no
115500	6.485753791e+01	0.242302770	2.612392733e-01	no
116000	6.485923793e+01	0.242299541	2.612439261e-01	no
116500	6.486109665e+01	0.242290251	2.612518662e-01	no
117000	6.486297046e+01	0.242274441	2.612630828e-01	no
117500	6.486468233e+01	0.242252298	2.612773134e-01	no
118000	6.486603122e+01	0.242224544	2.612938180e-01	no
118500	6.486680752e+01	0.242192505	2.613115809e-01	no
119000	6.486681711e+01	0.242158223	2.613291127e-01	no
119500	6.486588895e+01	0.242124552	2.613446309e-01	no
120000	6.486390602e+01	0.242094940	2.613562712e-01	no
120500	6.486086877e+01	0.242071879	2.613624941e-01	no
121000	6.485673472e+01	0.242059656	2.613610480e-01	no
121500	6.485159350e+01	0.242116357	2.612787076e-01	no
122000	6.485613032e+01	0.242156082	2.613023301e-01	no
122500	6.485409765e+01	0.242174450	2.612975240e-01	no
123000	6.485181031e+01	0.242185954	2.612885748e-01	no
123500	6.484949679e+01	0.242205285	2.612741379e-01	no
124000	6.484738579e+01	0.242233430	2.612563310e-01	no
124500	6.484572344e+01	0.242268335	2.612357947e-01	no
125000	6.484476774e+01	0.242308522	2.612138949e-01	no
125500	6.484474054e+01	0.242351369	2.611922645e-01	no
126000	6.484583655e+01	0.242394083	2.611726547e-01	no
126500	6.484820304e+01	0.242433114	2.611571350e-01	no
127000	6.485883834e+01	0.242272486	2.612611031e-01	no
127500	6.486748257e+01	0.242238223	2.613212058e-01	no
128000	6.486501246e+01	0.242189058	2.613100898e-01	no
128500	6.486400915e+01	0.242167490	2.613199057e-01	no
129000	6.486278655e+01	0.242143045	2.613296615e-01	no
129500	6.486084912e+01	0.242124356	2.613357207e-01	no
130000	6.485814189e+01	0.242112830	2.613367930e-01	no
130500	6.485473936e+01	0.242111103	2.613314973e-01	no
131000	6.485081123e+01	0.242121109	2.613190751e-01	no
131500	6.484651410e+01	0.242145260	2.612988757e-01	no
132000	6.484212168e+01	0.242183999	2.612709921e-01	no
132500	6.485916355e+01	0.242233696	2.613055103e-01	no
133000	6.485633028e+01	0.242242649	2.612758244e-01	no
133500	6.485229773e+01	0.242288167	2.612347961e-01	no
134000	6.485471961e+01	0.242281137	2.612422837e-01	no
134500	6.485584242e+01	0.242290528	2.612421980e-01	no
135000	6.485703831e+01	0.242293609	2.612431047e-01	no
135500	6.485842843e+01	0.242292261	2.612461598e-01	no
136000	6.485997581e+01	0.242286085	2.612520443e-01	no
136500	6.486157423e+01	0.242274385	2.612606975e-01	no
137000	6.486308304e+01	0.242257200	2.612720161e-01	no
137500	6.486433809e+01	0.242235040	2.612854723e-01	no
138000	6.486516341e+01	0.242208880	2.613002752e-01	no
138500	6.486538632e+01	0.242180239	2.613153211e-01	no
139000	6.486485627e+01	0.242151280	2.613291484e-01	no
139500	6.486346000e+01	0.242124822	2.613401677e-01	no
139600	6.486791152e+01	0.242242399	2.612880032e-01	yes
139650	6.486444508e+01	0.242316302	2.612443384e-01	yes
139700	6.485826491e+01	0.242366182	2.612084225e-01	yes
139750	6.485152081e+01	0.242373705	2.611928861e-01	yes
139800	6.484658956e+01	0.242335349	2.612035632e-01	yes
139850	6.484522857e+01	0.242263789	2.612372034e-01	yes
139900	6.484798033e+01	0.242183283	2.612826252e-01	yes
139950	6.485396131e+01	0.242122665	2.613241957e-01	yes
140000	6.486113950e+01	0.242103918	2.613467317e-01	yes
