# Region            : cellZone slabA
# Cells             : 30
# Volume            : 6.972459419800e-09
# Time              	volAverage(p)
591                 	8.273031924447e+03
592                 	8.273031924496e+03
593                 	8.273031924461e+03
594                 	8.273031924562e+03
595                 	8.273031924477e+03
596                 	8.273031924503e+03
597                 	8.273031924508e+03
598                 	8.273031924491e+03
599                 	8.273031924423e+03
600                 	8.273031924441e+03
601                 	8.273031924469e+03
602                 	8.273031924565e+03
603                 	8.273031924528e+03
604                 	8.273031924450e+03
605                 	8.273031924463e+03
606                 	8.273031924503e+03
607                 	8.273031924503e+03
608                 	8.273031924547e+03
609                 	8.273031924529e+03
610                 	8.273031924417e+03
611                 	8.273031924421e+03
612                 	8.273031924558e+03
613                 	8.273031924541e+03
614                 	8.273031924526e+03
615                 	8.273031924471e+03
616                 	8.273031924414e+03
617                 	8.273031924446e+03
618                 	8.273031924555e+03
619                 	8.273031924615e+03
620                 	8.273031924517e+03
621                 	8.273031924402e+03
622                 	8.273031924443e+03
623                 	8.273031924473e+03
624                 	8.273031924468e+03
625                 	8.273031924463e+03
626                 	8.273031924516e+03
627                 	8.273031924530e+03
628                 	8.273031924579e+03
629                 	8.273031924543e+03
630                 	8.273031924494e+03
631                 	8.273031924369e+03
632                 	8.273031924435e+03
633                 	8.273031924450e+03
634                 	8.273031924554e+03
635                 	8.273031924565e+03
636                 	8.273031924563e+03
637                 	8.273031924516e+03
638                 	8.273031924414e+03
639                 	8.273031924411e+03
640                 	8.273031924452e+03
641                 	8.273031924504e+03
642                 	8.273031924585e+03
643                 	8.273031924537e+03
644                 	8.273031924431e+03
645                 	8.273031924429e+03
646                 	8.273031924485e+03
647                 	8.273031924538e+03
648                 	8.273031924485e+03
649                 	8.273031924448e+03
650                 	8.273031924534e+03
651                 	8.273031924537e+03
652                 	8.273031924497e+03
653                 	8.273031924506e+03
654                 	8.273031924411e+03
655                 	8.273031924432e+03
656                 	8.273031924473e+03
657                 	8.273031924571e+03
658                 	8.273031924517e+03
659                 	8.273031924508e+03
660                 	8.273031924432e+03
661                 	8.273031924470e+03
662                 	8.273031924478e+03
663                 	8.273031924522e+03
664                 	8.273031924531e+03
665                 	8.273031924477e+03
666                 	8.273031924446e+03
667                 	8.273031924522e+03
668                 	8.273031924627e+03
669                 	8.273031924491e+03
670                 	8.273031924355e+03
671                 	8.273031924384e+03
672                 	8.273031924518e+03
673                 	8.273031924565e+03
674                 	8.273031924602e+03
675                 	8.273031924438e+03
676                 	8.273031924442e+03
677                 	8.273031924463e+03
678                 	8.273031924511e+03
679                 	8.273031924509e+03
680                 	8.273031924498e+03
681                 	8.273031924478e+03
682                 	8.273031924483e+03
683                 	8.273031924542e+03
684                 	8.273031924536e+03
685                 	8.273031924473e+03
686                 	8.273031924432e+03
687                 	8.273031924334e+03
688                 	8.273031924570e+03
689                 	8.273031924621e+03
690                 	8.273031924566e+03
691                 	8.273031924394e+03
692                 	8.273031924359e+03
693                 	8.273031924503e+03
694                 	8.273031924580e+03
695                 	8.273031924569e+03
696                 	8.273031924432e+03
697                 	8.273031924437e+03
698                 	8.273031924472e+03
699                 	8.273031924537e+03
700                 	8.273031924586e+03
701                 	8.273031924499e+03
702                 	8.273031924418e+03
703                 	8.273031924496e+03
704                 	8.273031924504e+03
705                 	8.273031924499e+03
706                 	8.273031924464e+03
707                 	8.273031924426e+03
708                 	8.273031924522e+03
709                 	8.273031924592e+03
710                 	8.273031924504e+03
711                 	8.273031924406e+03
712                 	8.273031924462e+03
713                 	8.273031924404e+03
714                 	8.273031924546e+03
715                 	8.273031924575e+03
716                 	8.273031924516e+03
717                 	8.273031924533e+03
718                 	8.273031924398e+03
719                 	8.273031924421e+03
720                 	8.273031924524e+03
721                 	8.273031924559e+03
722                 	8.273031924502e+03
723                 	8.273031924448e+03
724                 	8.273031924557e+03
725                 	8.273031924506e+03
726                 	8.273031924463e+03
727                 	8.273031924437e+03
728                 	8.273031924482e+03
729                 	8.273031924539e+03
730                 	8.273031924538e+03
731                 	8.273031924442e+03
732                 	8.273031924505e+03
733                 	8.273031924449e+03
734                 	8.273031924460e+03
735                 	8.273031924474e+03
736                 	8.273031924541e+03
737                 	8.273031924532e+03
738                 	8.273031924564e+03
739                 	8.273031924462e+03
740                 	8.273031924417e+03
741                 	8.273031924471e+03
742                 	8.273031924517e+03
743                 	8.273031924477e+03
744                 	8.273031924452e+03
745                 	8.273031924480e+03
746                 	8.273031924564e+03
747                 	8.273031924520e+03
748                 	8.273031924499e+03
749                 	8.273031924473e+03
750                 	8.273031924453e+03
751                 	8.273031924486e+03
752                 	8.273031924565e+03
753                 	8.273031924526e+03
754                 	8.273031924426e+03
755                 	8.273031924428e+03
756                 	8.273031924492e+03
757                 	8.273031924505e+03
758                 	8.273031924505e+03
759                 	8.273031924480e+03
760                 	8.273031924556e+03
761                 	8.273031924515e+03
762                 	8.273031924428e+03
763                 	8.273031924409e+03
764                 	8.273031924526e+03
765                 	8.273031924580e+03
766                 	8.273031924504e+03
767                 	8.273031924476e+03
768                 	8.273031924495e+03
769                 	8.273031924394e+03
770                 	8.273031924450e+03
771                 	8.273031924625e+03
772                 	8.273031924516e+03
773                 	8.273031924467e+03
774                 	8.273031924408e+03
775                 	8.273031924432e+03
776                 	8.273031924502e+03
777                 	8.273031924590e+03
778                 	8.273031924536e+03
779                 	8.273031924440e+03
780                 	8.273031924445e+03
781                 	8.273031924465e+03
782                 	8.273031924573e+03
783                 	8.273031924529e+03
784                 	8.273031924471e+03
785                 	8.273031924433e+03
786                 	8.273031924487e+03
787                 	8.273031924590e+03
788                 	8.273031924446e+03
789                 	8.273031924397e+03
790                 	8.273031924608e+03
791                 	8.273031924525e+03
792                 	8.273031924437e+03
793                 	8.273031924446e+03
794                 	8.273031924491e+03
795                 	8.273031924576e+03
796                 	8.273031924512e+03
797                 	8.273031924454e+03
798                 	8.273031924443e+03
799                 	8.273031924478e+03
800                 	8.273031924510e+03
801                 	8.273031924494e+03
802                 	8.273031924465e+03
803                 	8.273031924490e+03
804                 	8.273031924482e+03
805                 	8.273031924479e+03
806                 	8.273031924511e+03
807                 	8.273031924537e+03
808                 	8.273031924460e+03
809                 	8.273031924478e+03
810                 	8.273031924533e+03
811                 	8.273031924499e+03
812                 	8.273031924517e+03
813                 	8.273031924454e+03
814                 	8.273031924478e+03
815                 	8.273031924486e+03
816                 	8.273031924533e+03
817                 	8.273031924496e+03
818                 	8.273031924466e+03
819                 	8.273031924485e+03
