# cfd-territory never-run census -- generated by scripts/census_never_run.py
# unit: directory D with D/system/controlDict (INSTANCE) or D/system/controlDict*.template (DEFINITION); plus the orphan
#       unit: a directory with solver logs and NO system/ (a case run then pruned) -> RAN_LOGS_ONLY
# NEVER_RUN predicate: no solver log with an 'ExecutionTime = ' line, no time dir > 0 with content (case level OR processor*/),
#                      and no mesh (constant/polyMesh/points or a mesh-utility log).
# family is NAME-DERIVED and is a navigation aid only -- it cannot reliably pair a definition under cases/ with its
# outputs under verification/runs/, and it collides (cases/tmr and models/tmr share the key 'tmr').
# verdict_artifact is NAME-LINKED and is the weakest column here; open it before relying on it.
class	family	case_root	evidence_path	application	missing_binary	solver_logs	time_dirs	proc_time_dirs	end_line	rc	verdict_tokens	verdict_artifact
MESH_ONLY	F28	verification/runs/F28_runs/FEAS_L1_dp1000_U20_R2	verification/runs/F28_runs/FEAS_L1_dp1000_U20_R2/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/_A1_allGeometry_recheck	verification/runs/F28_runs/_A1_allGeometry_recheck/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/mesh_A2/L1	verification/runs/F28_runs/mesh_A2/L1/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/mesh_A2/L2	verification/runs/F28_runs/mesh_A2/L2/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/mesh_A2/L3	verification/runs/F28_runs/mesh_A2/L3/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/mesh_A3/L1	verification/runs/F28_runs/mesh_A3/L1/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/mesh_A3/L2	verification/runs/F28_runs/mesh_A3/L2/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/mesh_A3/L3	verification/runs/F28_runs/mesh_A3/L3/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/mesh_A4/L1	verification/runs/F28_runs/mesh_A4/L1/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
MESH_ONLY	F28	verification/runs/F28_runs/mesh_A4/L2	verification/runs/F28_runs/mesh_A4/L2/constant/polyMesh	simpleFoam		0	0	0	0		BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F28_DUCTED_ACTUATOR_DISK_PREREGISTRATION.md
