power_W,airspeed_m_per_s,iteration,solid_peak_temperature_degC,solid_minimum_temperature_degC
80,30,6700,25.550231,24.513388
80,30,6800,25.550231,24.513388
80,30,6900,25.550231,24.513388
80,30,7000,25.550231,24.513388
80,30,7100,25.550231,24.513388
80,30,7200,25.550231,24.513388
80,30,7300,25.550231,24.513388
80,30,7400,25.550231,24.513388
80,30,7500,25.550231,24.513388
80,30,7600,25.550231,24.513388
80,30,7700,25.550231,24.513388
80,30,7800,25.550231,24.513388
80,30,7900,25.550231,24.513388
80,30,8000,25.550231,24.513388
80,30,8100,25.550231,24.513388
80,30,8200,25.550231,24.513388
80,30,8300,25.550231,24.513388
80,30,8400,25.550231,24.513388
80,30,8500,25.550231,24.513388
80,30,8600,25.550231,24.513388
80,30,8700,25.550231,24.513388
80,30,8800,25.550231,24.513388
80,30,8900,25.550231,24.513388
80,30,9000,25.550231,24.513388
80,30,9100,25.550231,24.513388
80,30,9200,25.550231,24.513388
80,30,9300,25.550231,24.513388
80,30,9400,25.550231,24.513388
80,30,9500,25.550231,24.513388
80,30,9600,25.550231,24.513388
80,30,9700,25.550231,24.513388
80,30,9800,25.550231,24.513388
80,30,9900,25.550231,24.513388
80,30,10000,25.550231,24.513388
80,40,100,21.844140,21.281731
80,40,200,22.830704,22.052926
80,40,300,23.214290,22.333547
80,40,400,23.394533,22.489696
80,40,500,23.510535,22.586087
80,40,600,23.561621,22.622762
80,40,700,23.581444,22.635820
80,40,800,23.588910,22.640970
80,40,900,23.591607,22.642921
80,40,1000,23.592982,22.643956
80,40,1100,23.593523,22.644370
80,40,1200,23.593616,22.644437
80,40,1300,23.593632,22.644445
80,40,1400,23.593647,22.644453
80,40,1500,23.593662,22.644462
80,40,1600,23.593677,22.644471
80,40,1700,23.593692,22.644482
80,40,1800,23.593705,22.644490
80,40,1900,23.593705,22.644490
80,40,2000,23.593705,22.644490
80,40,2100,23.593705,22.644490
80,40,2200,23.593705,22.644490
80,40,2300,23.593705,22.644490
80,40,2400,23.593705,22.644490
80,40,2500,23.593705,22.644490
80,40,2600,23.593705,22.644490
80,40,2700,23.593705,22.644490
80,40,2800,23.593705,22.644490
80,40,2900,23.593705,22.644490
80,40,3000,23.593705,22.644490
80,40,3100,23.593705,22.644490
80,40,3200,23.593705,22.644490
80,40,3300,23.593705,22.644490
80,40,3400,23.593705,22.644490
80,40,3500,23.593705,22.644490
80,40,3600,23.593705,22.644490
80,40,3700,23.593705,22.644490
80,40,3800,23.593705,22.644490
80,40,3900,23.593705,22.644490
80,40,4000,23.593705,22.644490
80,40,4100,23.593705,22.644490
80,40,4200,23.593705,22.644490
80,40,4300,23.593705,22.644490
80,40,4400,23.593705,22.644490
80,40,4500,23.593705,22.644490
80,40,4600,23.593705,22.644490
80,40,4700,23.593705,22.644490
80,40,4800,23.593705,22.644490
80,40,4900,23.593705,22.644490
80,40,5000,23.593705,22.644490
80,40,5100,23.593705,22.644490
80,40,5200,23.593705,22.644490
80,40,5300,23.593705,22.644490
80,40,5400,23.593705,22.644490
80,40,5500,23.593705,22.644490
80,40,5600,23.593705,22.644490
80,40,5700,23.593705,22.644490
80,40,5800,23.593705,22.644490
80,40,5900,23.593705,22.644490
80,40,6000,23.593705,22.644490
80,40,6100,23.593705,22.644490
80,40,6200,23.593705,22.644490
80,40,6300,23.593705,22.644490
80,40,6400,23.593705,22.644490
80,40,6500,23.593705,22.644490
80,40,6600,23.593705,22.644490
80,40,6700,23.593705,22.644490
80,40,6800,23.593705,22.644490
80,40,6900,23.593705,22.644490
80,40,7000,23.593705,22.644490
80,40,7100,23.593705,22.644490
80,40,7200,23.593705,22.644490
80,40,7300,23.593705,22.644490
80,40,7400,23.593705,22.644490
80,40,7500,23.593705,22.644490
80,40,7600,23.593705,22.644490
80,40,7700,23.593705,22.644490
80,40,7800,23.593705,22.644490
80,40,7900,23.593705,22.644490
80,40,8000,23.593705,22.644490
80,40,8100,23.593705,22.644490
80,40,8200,23.593705,22.644490
80,40,8300,23.593705,22.644490
80,40,8400,23.593705,22.644490
80,40,8500,23.593705,22.644490
80,40,8600,23.593705,22.644490
80,40,8700,23.593705,22.644490
80,40,8800,23.593705,22.644490
80,40,8900,23.593705,22.644490
80,40,9000,23.593705,22.644490
80,40,9100,23.593705,22.644490
80,40,9200,23.593705,22.644490
80,40,9300,23.593705,22.644490
80,40,9400,23.593705,22.644490
80,40,9500,23.593705,22.644490
80,40,9600,23.593705,22.644490
80,40,9700,23.593705,22.644490
80,40,9800,23.593705,22.644490
80,40,9900,23.593705,22.644490
80,40,10000,23.593705,22.644490
155,10,100,42.435622,41.491152
155,10,200,51.791824,50.032073
155,10,300,56.224399,53.946161
155,10,400,58.146811,55.690495
155,10,500,59.070685,56.516696
155,10,600,59.535328,56.922780
155,10,700,59.757378,57.117846
155,10,800,59.865073,57.211619
155,10,900,59.915840,57.256202
155,10,1000,59.940984,57.278557
155,10,1100,59.954418,57.290434
155,10,1200,59.961354,57.296583
155,10,1300,59.965110,57.299922
155,10,1400,59.967091,57.301680
155,10,1500,59.967998,57.302475
155,10,1600,59.968337,57.302766
155,10,1700,59.968435,57.302848
155,10,1800,59.968448,57.302858
155,10,1900,59.968461,57.302868
155,10,2000,59.968475,57.302879
155,10,2100,59.968489,57.302891
155,10,2200,59.968505,57.302905
155,10,2300,59.968521,57.302919
155,10,2400,59.968537,57.302933
155,10,2500,59.968542,57.302937
155,10,2600,59.968542,57.302937
155,10,2700,59.968542,57.302937
155,10,2800,59.968542,57.302937
155,10,2900,59.968542,57.302937
155,10,3000,59.968542,57.302937
155,10,3100,59.968542,57.302937
155,10,3200,59.968542,57.302937
155,10,3300,59.968542,57.302937
155,10,3400,59.968542,57.302937
155,10,3500,59.968542,57.302937
155,10,3600,59.968542,57.302937
155,10,3700,59.968542,57.302937
155,10,3800,59.968542,57.302937
155,10,3900,59.968542,57.302937
155,10,4000,59.968542,57.302937
155,10,4100,59.968542,57.302937
155,10,4200,59.968542,57.302937
155,10,4300,59.968542,57.302937
155,10,4400,59.968542,57.302937
155,10,4500,59.968542,57.302937
155,10,4600,59.968542,57.302937
155,10,4700,59.968542,57.302937
155,10,4800,59.968542,57.302937
155,10,4900,59.968542,57.302937
155,10,5000,59.968542,57.302937
155,10,5100,59.968542,57.302937
155,10,5200,59.968542,57.302937
155,10,5300,59.968542,57.302937
155,10,5400,59.968542,57.302937
155,10,5500,59.968542,57.302937
155,10,5600,59.968542,57.302937
155,10,5700,59.968542,57.302937
155,10,5800,59.968542,57.302937
155,10,5900,59.968542,57.302937
155,10,6000,59.968542,57.302937
155,10,6100,59.968542,57.302937
155,10,6200,59.968542,57.302937
155,10,6300,59.968542,57.302937
155,10,6400,59.968542,57.302937
155,10,6500,59.968542,57.302937
155,10,6600,59.968542,57.302937
155,10,6700,59.968542,57.302937
155,10,6800,59.968542,57.302937
155,10,6900,59.968542,57.302937
155,10,7000,59.968542,57.302937
155,10,7100,59.968542,57.302937
155,10,7200,59.968542,57.302937
155,10,7300,59.968542,57.302937
155,10,7400,59.968542,57.302937
155,10,7500,59.968542,57.302937
155,10,7600,59.968542,57.302937
155,10,7700,59.968542,57.302937
155,10,7800,59.968542,57.302937
155,10,7900,59.968542,57.302937
155,10,8000,59.968542,57.302937
155,10,8100,59.968542,57.302937
155,10,8200,59.968542,57.302937
155,10,8300,59.968542,57.302937
155,10,8400,59.968542,57.302937
