# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
72                  	DILUPBiCGStab	4.551067946460e-03	5.355062624180e-05	1	6.352685069860e-03	1.362026652230e-04	1	false	DICPCG	3.969850600280e-03	3.520722168350e-05	17	true
73                  	DILUPBiCGStab	4.511787353950e-03	5.311301333200e-05	1	6.416615617040e-03	1.351669387520e-04	1	false	DICPCG	3.929743098870e-03	3.464226798220e-05	17	true
74                  	DILUPBiCGStab	4.473132533430e-03	5.268170094420e-05	1	6.480243226330e-03	1.341953455570e-04	1	false	DICPCG	3.892608769370e-03	3.407895037900e-05	17	true
75                  	DILUPBiCGStab	4.435211338630e-03	5.225802073200e-05	1	6.542933471320e-03	1.333062102140e-04	1	false	DICPCG	3.857257705510e-03	3.351790033910e-05	17	true
76                  	DILUPBiCGStab	4.397731980940e-03	5.183859033160e-05	1	6.604652974900e-03	1.324667404280e-04	1	false	DICPCG	3.823760334830e-03	3.295390126920e-05	17	true
77                  	DILUPBiCGStab	4.360955274770e-03	5.142653335980e-05	1	6.665491519120e-03	1.317003137810e-04	1	false	DICPCG	3.791932784070e-03	3.238701397200e-05	17	true
78                  	DILUPBiCGStab	4.324864007820e-03	5.102169439050e-05	1	6.725126333520e-03	1.309910108230e-04	1	false	DICPCG	3.761705403430e-03	3.181190909790e-05	17	true
79                  	DILUPBiCGStab	4.289386060120e-03	5.062326586270e-05	1	6.783259235400e-03	1.303189851610e-04	1	false	DICPCG	3.732971073930e-03	3.123467017440e-05	17	true
80                  	DILUPBiCGStab	4.254289069680e-03	5.022854363600e-05	1	6.840007488010e-03	1.296942201550e-04	1	false	DICPCG	3.705548589470e-03	3.065228174850e-05	17	true
81                  	DILUPBiCGStab	4.219806840970e-03	4.984032239680e-05	1	6.895655255330e-03	1.291142220740e-04	1	false	DICPCG	3.679465696390e-03	3.006912693380e-05	17	true
82                  	DILUPBiCGStab	4.185728351300e-03	4.945614265420e-05	1	6.949832978080e-03	1.285750937730e-04	1	false	DICPCG	3.654562763120e-03	2.947987084830e-05	17	true
83                  	DILUPBiCGStab	4.152123710780e-03	4.907686191000e-05	1	7.002391827260e-03	1.280897567990e-04	1	false	DICPCG	3.630834770870e-03	2.888593831510e-05	17	true
84                  	DILUPBiCGStab	4.119077472670e-03	4.870350769210e-05	1	7.053527571120e-03	1.276317601340e-04	1	false	DICPCG	3.608235132580e-03	2.828952140930e-05	17	true
85                  	DILUPBiCGStab	4.086569509370e-03	4.833586901460e-05	1	7.103340869870e-03	1.271936851960e-04	1	false	DICPCG	3.586642036010e-03	3.536860848060e-05	16	true
86                  	DILUPBiCGStab	4.054468506880e-03	4.797241742620e-05	1	7.151782179070e-03	1.267709944520e-04	1	false	DICPCG	3.566190626170e-03	3.454490627250e-05	16	true
87                  	DILUPBiCGStab	4.022721334490e-03	4.761254638480e-05	1	7.198778421700e-03	1.263665568860e-04	1	false	DICPCG	3.546868182010e-03	3.372376914470e-05	16	true
88                  	DILUPBiCGStab	3.991463670410e-03	4.725788280410e-05	1	7.244264073340e-03	1.259886965630e-04	1	false	DICPCG	3.528484278030e-03	3.290454681480e-05	16	true
89                  	DILUPBiCGStab	3.960454534810e-03	4.690559366230e-05	1	7.288343242080e-03	1.256444321950e-04	1	false	DICPCG	3.511075055430e-03	3.209148756300e-05	16	true
90                  	DILUPBiCGStab	3.929879040510e-03	4.655788941190e-05	1	7.331020648850e-03	1.253140172680e-04	1	false	DICPCG	3.494722128840e-03	3.128605000690e-05	16	true
91                  	DILUPBiCGStab	3.899752543570e-03	4.621497065330e-05	1	7.372327242380e-03	1.249925300940e-04	1	false	DICPCG	3.479373009080e-03	3.048434692140e-05	16	true
92                  	DILUPBiCGStab	3.870060445030e-03	4.587668234770e-05	1	7.412316726160e-03	1.246856746980e-04	1	false	DICPCG	3.464925858960e-03	2.969190684660e-05	16	true
93                  	DILUPBiCGStab	3.840712659960e-03	4.554197346520e-05	1	7.450896098050e-03	1.243876520740e-04	1	false	DICPCG	3.451416091170e-03	3.388198357720e-05	15	true
94                  	DILUPBiCGStab	3.811621127710e-03	4.520981515010e-05	1	7.488076983870e-03	1.241046874310e-04	1	false	DICPCG	3.438887320020e-03	3.291628249310e-05	15	true
95                  	DILUPBiCGStab	3.782929681950e-03	4.488192813570e-05	1	7.523876336910e-03	1.238381811720e-04	1	false	DICPCG	3.427313633580e-03	3.197649585870e-05	15	true
96                  	DILUPBiCGStab	3.754457938360e-03	4.455618688070e-05	1	7.558301975560e-03	1.235765773940e-04	1	false	DICPCG	3.416683372700e-03	3.106450258540e-05	15	true
97                  	DILUPBiCGStab	3.726310944630e-03	4.423385138740e-05	1	7.591335385700e-03	1.233407996160e-04	1	false	DICPCG	3.406909491660e-03	3.018128517100e-05	15	true
98                  	DILUPBiCGStab	3.698534259200e-03	4.391547623060e-05	1	7.622881104640e-03	1.231140517850e-04	1	false	DICPCG	3.397949695980e-03	2.932788878020e-05	15	true
99                  	DILUPBiCGStab	3.671117051630e-03	4.360094644270e-05	1	7.653062464230e-03	1.228905884620e-04	1	false	DICPCG	3.389802440860e-03	2.850329638780e-05	15	true
100                 	DILUPBiCGStab	3.644048963410e-03	4.329015216990e-05	1	7.682084227570e-03	1.226803332010e-04	1	false	DICPCG	3.382343007480e-03	2.771251652110e-05	15	true
101                 	DILUPBiCGStab	3.617156163090e-03	4.298104062520e-05	1	7.709810879660e-03	1.224832565970e-04	1	false	DICPCG	3.375538374830e-03	2.695523193700e-05	15	true
102                 	DILUPBiCGStab	3.590560939040e-03	4.267507624120e-05	1	7.736045200840e-03	1.222935180840e-04	1	false	DICPCG	3.369293876610e-03	2.622928050240e-05	15	true
103                 	DILUPBiCGStab	3.564250461120e-03	4.237211825980e-05	1	7.760805685110e-03	1.221010324330e-04	1	false	DICPCG	3.363537419420e-03	2.553998822330e-05	15	true
104                 	DILUPBiCGStab	3.538103295250e-03	4.207073412450e-05	1	7.784375074190e-03	1.219103864770e-04	1	false	DICPCG	3.358231538450e-03	2.488381729220e-05	15	true
105                 	DILUPBiCGStab	3.512267775080e-03	4.177269820680e-05	1	7.806731651580e-03	1.217271066170e-04	1	false	DICPCG	3.353358132050e-03	2.425531340160e-05	15	true
106                 	DILUPBiCGStab	3.486736592750e-03	4.147793468870e-05	1	7.827818575730e-03	1.215627497750e-04	1	false	DICPCG	3.348843062140e-03	2.365778316890e-05	15	true
107                 	DILUPBiCGStab	3.461501875790e-03	4.118636071180e-05	1	7.847711105420e-03	1.214074723860e-04	1	false	DICPCG	3.344666410970e-03	2.308556551450e-05	15	true
108                 	DILUPBiCGStab	3.436556071020e-03	4.089789690070e-05	1	7.866320986650e-03	1.212573487490e-04	1	false	DICPCG	3.340771429280e-03	2.254323087210e-05	15	true
109                 	DILUPBiCGStab	3.411745593650e-03	4.061072532710e-05	1	7.883585122880e-03	1.211209340520e-04	1	false	DICPCG	3.337121469930e-03	2.202803253920e-05	15	true
110                 	DILUPBiCGStab	3.387185186590e-03	4.032622100060e-05	1	7.899530402210e-03	1.209908721810e-04	1	false	DICPCG	3.333666926550e-03	2.154021750660e-05	15	true
111                 	DILUPBiCGStab	3.362863560530e-03	4.004425902900e-05	1	7.914277171600e-03	1.208675204340e-04	1	false	DICPCG	3.330375078330e-03	2.107859642820e-05	15	true
112                 	DILUPBiCGStab	3.338671537620e-03	3.976354836520e-05	1	7.927940497180e-03	1.207610248280e-04	1	false	DICPCG	3.327232467510e-03	2.064189161480e-05	15	true
113                 	DILUPBiCGStab	3.314741548620e-03	3.948567489470e-05	1	7.940362652840e-03	1.206598779490e-04	1	false	DICPCG	3.324240733910e-03	2.023065052810e-05	15	true
114                 	DILUPBiCGStab	3.291068410820e-03	3.921058589210e-05	1	7.951621409340e-03	1.205644063280e-04	1	false	DICPCG	3.321388007070e-03	1.984236969500e-05	15	true
115                 	DILUPBiCGStab	3.267646249760e-03	3.893822014140e-05	1	7.961708681480e-03	1.204737519280e-04	1	false	DICPCG	3.318658401360e-03	1.947757751330e-05	15	true
116                 	DILUPBiCGStab	3.244469412210e-03	3.866851881550e-05	1	7.970587829890e-03	1.203900265600e-04	1	false	DICPCG	3.316049547170e-03	1.913536744420e-05	15	true
117                 	DILUPBiCGStab	3.221483252650e-03	3.840083884600e-05	1	7.978272043450e-03	1.203093620160e-04	1	false	DICPCG	3.313544147840e-03	1.881448910290e-05	15	true
118                 	DILUPBiCGStab	3.198630552390e-03	3.813450587770e-05	1	7.984645179580e-03	1.202356613210e-04	1	false	DICPCG	3.311129048090e-03	1.851681048200e-05	15	true
119                 	DILUPBiCGStab	3.176010741790e-03	3.787071283570e-05	1	7.989858371180e-03	1.201714361670e-04	1	false	DICPCG	3.308797166000e-03	1.823830520130e-05	15	true
120                 	DILUPBiCGStab	3.153523428880e-03	3.760827016380e-05	1	7.994170276620e-03	1.201094151600e-04	1	false	DICPCG	3.306544241300e-03	1.797577713220e-05	15	true
121                 	DILUPBiCGStab	3.131208543900e-03	3.734766111360e-05	1	7.997540498320e-03	1.200495593420e-04	1	false	DICPCG	3.304367337940e-03	1.772838107840e-05	15	true
122                 	DILUPBiCGStab	3.109115473450e-03	3.708948186050e-05	1	7.999693050360e-03	1.199957516520e-04	1	false	DICPCG	3.302264735430e-03	1.749741568810e-05	15	true
123                 	DILUPBiCGStab	3.087239721990e-03	3.683368587860e-05	1	8.000515585790e-03	1.199434122300e-04	1	false	DICPCG	3.300237413840e-03	1.728273932770e-05	15	true
124                 	DILUPBiCGStab	3.065576950640e-03	3.658022830310e-05	1	8.000373458990e-03	1.198969447480e-04	1	false	DICPCG	3.298285502450e-03	1.707986398660e-05	15	true
125                 	DILUPBiCGStab	3.044122970310e-03	3.632906585450e-05	1	7.999392270260e-03	1.198568196560e-04	1	false	DICPCG	3.296404987530e-03	1.689006934140e-05	15	true
126                 	DILUPBiCGStab	3.022849477110e-03	3.607986722750e-05	1	7.997338988980e-03	1.198263733690e-04	1	false	DICPCG	3.294591930530e-03	1.671251451930e-05	15	true
127                 	DILUPBiCGStab	3.001670683210e-03	3.583161457770e-05	1	7.994369472900e-03	1.198036355150e-04	1	false	DICPCG	3.292840752580e-03	3.276701605140e-05	14	true
128                 	DILUPBiCGStab	2.980691658790e-03	3.558556799100e-05	1	7.990337210610e-03	1.197820633290e-04	1	false	DICPCG	3.291148722320e-03	3.259385564420e-05	14	true
129                 	DILUPBiCGStab	2.959847528930e-03	3.534095885100e-05	1	7.985119603650e-03	1.197572068610e-04	1	false	DICPCG	3.289510785900e-03	3.242986889510e-05	14	true
130                 	DILUPBiCGStab	2.939130155010e-03	3.509769553460e-05	1	7.979048513730e-03	1.197405699240e-04	1	false	DICPCG	3.287921229450e-03	3.227527974660e-05	14	true
131                 	DILUPBiCGStab	2.918604581630e-03	3.485656024920e-05	1	7.972160517300e-03	1.197266599510e-04	1	false	DICPCG	3.286374622610e-03	3.212823496060e-05	14	true
132                 	DILUPBiCGStab	2.898267397150e-03	3.461751774990e-05	1	7.964333676350e-03	1.197144108310e-04	1	false	DICPCG	3.284900131380e-03	3.198955887570e-05	14	true
133                 	DILUPBiCGStab	2.878115298480e-03	3.438053391850e-05	1	7.955452855710e-03	1.197085664370e-04	1	false	DICPCG	3.283481170920e-03	3.185961687470e-05	14	true
134                 	DILUPBiCGStab	2.858145086660e-03	3.414557571470e-05	1	7.945437746840e-03	1.197098032320e-04	1	false	DICPCG	3.282105837700e-03	3.173696692150e-05	14	true
135                 	DILUPBiCGStab	2.838353662560e-03	3.391261112960e-05	1	7.934473407440e-03	1.197091493110e-04	1	false	DICPCG	3.280770802220e-03	3.162050284370e-05	14	true
136                 	DILUPBiCGStab	2.818703659250e-03	3.368119852410e-05	1	7.922891685070e-03	1.197104961570e-04	1	false	DICPCG	3.279473956840e-03	3.150949643000e-05	14	true
137                 	DILUPBiCGStab	2.799149141860e-03	3.345079355590e-05	1	7.910433859320e-03	1.197195858520e-04	1	false	DICPCG	3.278213952750e-03	3.140371714320e-05	14	true
138                 	DILUPBiCGStab	2.779767011190e-03	3.322231961230e-05	1	7.896807495920e-03	1.197316221520e-04	1	false	DICPCG	3.276988770370e-03	3.130376074360e-05	14	true
139                 	DILUPBiCGStab	2.760491328170e-03	3.299499299490e-05	1	7.882287543640e-03	1.197434311070e-04	1	false	DICPCG	3.275796482880e-03	3.120908932020e-05	14	true
140                 	DILUPBiCGStab	2.741336771590e-03	3.276899326940e-05	1	7.866932807500e-03	1.197594908330e-04	1	false	DICPCG	3.274637750780e-03	3.112080608790e-05	14	true
141                 	DILUPBiCGStab	2.722348782750e-03	3.254486770300e-05	1	7.850755188400e-03	1.197803746390e-04	1	false	DICPCG	3.273509105210e-03	3.103770274430e-05	14	true
142                 	DILUPBiCGStab	2.703524773560e-03	3.232258940430e-05	1	7.833763220530e-03	1.198011915670e-04	1	false	DICPCG	3.272424392680e-03	3.095959185630e-05	14	true
143                 	DILUPBiCGStab	2.684862230010e-03	3.210213223590e-05	1	7.815885184260e-03	1.198246854520e-04	1	false	DICPCG	3.271377861180e-03	3.088626554960e-05	14	true
144                 	DILUPBiCGStab	2.666358709390e-03	3.188347078630e-05	1	7.797171464970e-03	1.198497140250e-04	1	false	DICPCG	3.270379202450e-03	3.081626695920e-05	14	true
145                 	DILUPBiCGStab	2.648011837500e-03	3.166658033530e-05	1	7.777561574990e-03	1.198774677300e-04	1	false	DICPCG	3.269417008610e-03	3.074965402880e-05	14	true
146                 	DILUPBiCGStab	2.629819306100e-03	3.145143683230e-05	1	7.757276837550e-03	1.199086292020e-04	1	false	DICPCG	3.268491232390e-03	3.068729837820e-05	14	true
147                 	DILUPBiCGStab	2.611728212200e-03	3.123741097340e-05	1	7.736013076400e-03	1.199427902060e-04	1	false	DICPCG	3.267609331750e-03	3.062909254720e-05	14	true
148                 	DILUPBiCGStab	2.593743128740e-03	3.102456065120e-05	1	7.713649230820e-03	1.199827451830e-04	1	false	DICPCG	3.266745594360e-03	3.057458865270e-05	14	true
149                 	DILUPBiCGStab	2.575907779800e-03	3.081341200940e-05	1	7.690464182100e-03	1.200209816780e-04	1	false	DICPCG	3.265897848090e-03	3.052353376020e-05	14	true
