iteration,$U_x$,$U_z$,$T$,$p_{rgh}$
185,0.004718787648,0.002240294116,0.001655321152,0.03495210782
186,0.004723989681,0.00223653487,0.001649373031,0.03494653614
187,0.004728353477,0.002231842343,0.001643253132,0.03491551858
188,0.004732580397,0.002226597523,0.001637889658,0.03488393787
189,0.004736146793,0.002220781507,0.001633629991,0.03484311818
190,0.004738698452,0.002214366689,0.001629022087,0.03481747343
191,0.004740730929,0.002207269691,0.001624597405,0.03478197186
192,0.004742361352,0.002199363314,0.001620274997,0.0347413426
193,0.004742940978,0.002190619595,0.001616223251,0.03466503369
194,0.004742250157,0.002181186846,0.001611617074,0.0346026467
195,0.004740644204,0.002171065536,0.001607128236,0.03456896906
196,0.004739082003,0.002160420968,0.001603281951,0.03453557568
197,0.004736522888,0.002148932599,0.001599712043,0.0345118661
198,0.004732287155,0.002136584168,0.001595920932,0.03450821023
199,0.004726986293,0.002123641319,0.001593454888,0.03448635898
200,0.004721116447,0.002110050049,0.001590579373,0.03449016791
201,0.004714755878,0.002096191055,0.001588292574,0.03451062617
202,0.004707669694,0.00208180186,0.001586248748,0.03452253559
203,0.004699200601,0.002066609073,0.001584027172,0.0345215409
204,0.004689672005,0.002050624569,0.001582286297,0.03454441958
205,0.004679756092,0.00203387586,0.001581172038,0.03460148996
206,0.004669667393,0.002016624976,0.001579408826,0.03463533327
207,0.004658607082,0.001999211305,0.001577543823,0.03465754032
208,0.004646494736,0.001981544575,0.001576709424,0.03464124227
209,0.004633523474,0.001963511798,0.001575929338,0.03462562414
210,0.004620097299,0.001944948688,0.001575474155,0.03458204945
211,0.004605815251,0.001926469956,0.001575045108,0.03454163105
212,0.004591070243,0.001908074214,0.001574647256,0.03444311421
213,0.004575289018,0.001889662805,0.001573940638,0.03439321149
214,0.004558858221,0.001871435467,0.001573095242,0.03434791876
215,0.004541849209,0.001853577342,0.001572210512,0.03429499585
216,0.004523457898,0.001836342468,0.001570520449,0.03422051926
217,0.004504066157,0.001819482164,0.001568797337,0.03414081559
218,0.004484328477,0.001802825756,0.001567477094,0.03402453939
219,0.004463613773,0.001786408072,0.001565794253,0.03386453178
220,0.004441850896,0.001770654483,0.001564721428,0.03374404571
221,0.004419664486,0.001755577665,0.001562936032,0.03366769578
222,0.004397025607,0.001741288843,0.001561512342,0.03360336748
223,0.004373836525,0.001727432397,0.001560343064,0.03351902091
224,0.004350472295,0.001713968986,0.001558727406,0.03343497378
225,0.004326804236,0.001701084343,0.001557816688,0.03335248741
226,0.004302979576,0.001688730297,0.001556874884,0.0332546057
227,0.004278817112,0.001676834043,0.001555914333,0.03308581314
228,0.004254646643,0.001665528849,0.001554695872,0.03288983079
229,0.004230627342,0.001654905079,0.001553842861,0.03265254594
230,0.004206659031,0.001644782855,0.001552650903,0.03244639886
231,0.004182726139,0.001635320287,0.001551348879,0.03230262606
232,0.004158133536,0.001626225114,0.001549791355,0.03221133997
233,0.004133985614,0.001617742779,0.001548375931,0.03210433328
234,0.00411005497,0.001609667139,0.001546973985,0.03204793109
235,0.004086457989,0.001601837488,0.00154609425,0.03200020594
236,0.004063393644,0.001594292881,0.001545429824,0.03193575634
237,0.004041217414,0.001587128621,0.001544054009,0.03185676561
238,0.00401969244,0.001580354515,0.001542532621,0.03176336065
239,0.003998685494,0.00157374141,0.001540670741,0.03160517871
240,0.003978536993,0.001567343796,0.001538713346,0.03143966054
241,0.003959134911,0.001561264314,0.001536137085,0.03129531626
242,0.0039402128,0.001555504229,0.001533090336,0.03118103544
243,0.003922044844,0.001549966268,0.001529597141,0.03113444747
244,0.003904981148,0.001544692908,0.001525925889,0.03107611114
245,0.003888698444,0.00153964592,0.001521561827,0.03103543181
246,0.003873341104,0.001534820382,0.001517511184,0.03096755833
247,0.003858867531,0.001530395545,0.001513278723,0.03085386854
248,0.003845419232,0.001526290708,0.001509584053,0.03073884714
249,0.003833179324,0.001522565633,0.001505493535,0.03067531812
250,0.003822081084,0.001519047095,0.001501733765,0.03065825196
251,0.003811949933,0.001515792107,0.001497338731,0.03062157922
252,0.003803021272,0.001512791826,0.001493679619,0.03062069454
253,0.003795664115,0.001510167562,0.001490105894,0.03056572892
254,0.003789951476,0.001507741636,0.001486663855,0.030464746
255,0.003785992249,0.001505625369,0.001482966789,0.03035998171
256,0.003783309093,0.001503753262,0.001478899331,0.03023889299
257,0.003782212949,0.001502070078,0.001474711621,0.03015101167
258,0.003782634673,0.001500576728,0.001471030341,0.03008896038
259,0.003784504825,0.001499105863,0.001466828196,0.03001236867
260,0.003787097332,0.001497617092,0.001463685031,0.02991169555
261,0.003790765999,0.001495956078,0.001460551239,0.02977348225
262,0.003795251494,0.001494252054,0.001457897889,0.02961014503
263,0.003800373516,0.001492277171,0.001455873665,0.02947550949
264,0.003805433506,0.001490056605,0.001454118546,0.02937504952
265,0.003810412453,0.001487633563,0.001452510481,0.02925656433
266,0.003815073957,0.001484954515,0.001451758565,0.02908598406
267,0.003819569345,0.001481975423,0.001452092481,0.02887882076
268,0.003823786278,0.001478695154,0.001452211672,0.02877440939
269,0.003827212553,0.001475237668,0.001452000497,0.02868273815
270,0.003829982848,0.001471617441,0.001451942209,0.0285511675
271,0.003831927382,0.001467806827,0.001451444379,0.02839615103
272,0.003833114899,0.001463903522,0.001451892506,0.02823181102
273,0.003833222603,0.001459875381,0.001453265755,0.02811134935
274,0.003832672458,0.00145558896,0.001454155121,0.02807427074
275,0.003831158554,0.001451025198,0.001454841452,0.02804246453
276,0.003828388014,0.001446345892,0.001454591372,0.02799263547
277,0.003824099155,0.001441804129,0.0014539168,0.02792001587
278,0.003818596896,0.001437143314,0.001452737036,0.02784594446
279,0.003812048013,0.001432345399,0.001450873324,0.02780117734
280,0.003804018127,0.001427423705,0.001449088786,0.02775337278
281,0.003794645356,0.001422341928,0.001446220704,0.02770856961
282,0.003784403307,0.001417149843,0.001443090129,0.02762200146
283,0.003772805275,0.001411844252,0.001439122208,0.0275368157
284,0.003760205688,0.001406345429,0.001434516143,0.02743930646
285,0.003746568349,0.001400810739,0.001429982444,0.02733778625
286,0.003731386424,0.001395216911,0.001425191378,0.02723139091
287,0.003715064093,0.001389750416,0.001420439226,0.02711174864
288,0.003697717327,0.001384267328,0.001414910921,0.02699192022
289,0.003679530888,0.001378750222,0.001407933298,0.02685139024
290,0.003660697643,0.00137326851,0.001400819336,0.02671950086
291,0.003641117018,0.001367696547,0.001393774564,0.02660099357
292,0.003621202477,0.00136210905,0.001386751689,0.02647084581
293,0.003600566801,0.001356561138,0.001379435769,0.02632577448
294,0.003579477887,0.001351108764,0.001371108838,0.0261757609
295,0.003557715654,0.001345830504,0.001362793299,0.0260416037
296,0.003535876999,0.001340548892,0.001354617268,0.0259326658
297,0.003513781004,0.001335187374,0.0013456154,0.0258240703
298,0.003491274534,0.001329824753,0.001337186445,0.02571151605
299,0.003468791007,0.001324350823,0.001327613453,0.02561383874
300,0.003446440476,0.001318755158,0.001318216193,0.02554391508
301,0.003424080075,0.001313002563,0.001308081404,0.02547342332
302,0.003401610416,0.001307167655,0.001297526863,0.02538028451
303,0.003379170829,0.00130123424,0.00128669148,0.02527891361
304,0.003356629561,0.001295272839,0.001276723355,0.02519162921
305,0.00333445575,0.001289203787,0.001266014736,0.02508684154
306,0.003312943092,0.001282986222,0.001254670681,0.02499528586
307,0.003292119281,0.001276722969,0.001243956047,0.02490114089
308,0.003272025432,0.001270421511,0.001234476286,0.02482204682
309,0.003252613674,0.0012641335,0.001224923605,0.02474912554
310,0.003234376035,0.001257854822,0.001215846709,0.02468055414
311,0.003217112911,0.001251578128,0.001206818154,0.02462876796
312,0.003200784883,0.001245239394,0.001198592671,0.02456953463
313,0.003185547524,0.001239057133,0.001189431725,0.02450659195
314,0.003171523993,0.001232940852,0.001180173852,0.02445271708
315,0.003158488071,0.001227014104,0.001170669115,0.02439872505
316,0.003146019635,0.001221161639,0.001162010039,0.02435024491
317,0.00313429831,0.001215460819,0.001154042974,0.02428015988
318,0.003123667779,0.001209884184,0.001146452222,0.02420448911
319,0.003113434145,0.001204410325,0.001139025609,0.02412992548
320,0.003103475506,0.001199029886,0.001132723968,0.02404306
321,0.003093844216,0.00119378157,0.001126703121,0.02395839185
322,0.00308486204,0.001188705159,0.001121239523,0.02389713164
323,0.003076222007,0.001183793779,0.001115921218,0.02382646856
324,0.003067844749,0.001178844141,0.001111217658,0.02374473773
325,0.003059838831,0.001173918701,0.001105671556,0.02366305003
326,0.003051640289,0.001169120591,0.001100696371,0.02357696931
327,0.00304371664,0.00116445307,0.001096664276,0.0234770594
328,0.00303618931,0.001159886291,0.001093722717,0.02340836463
329,0.003028690738,0.001155371836,0.001091328323,0.02334461127
330,0.003020858658,0.001150958982,0.001089663676,0.02328291082
331,0.003013023873,0.001146732073,0.001088281204,0.02324342884
332,0.003005181982,0.001142486067,0.00108829705,0.0231836527
333,0.002997936412,0.001138345351,0.001088751965,0.02312124625
334,0.002990841066,0.001134322731,0.001089994743,0.02305453029
335,0.002984045264,0.001130420965,0.00109168096,0.02297728633
336,0.002976702666,0.001126555605,0.001093600115,0.02291359299
337,0.002969268766,0.001122712097,0.001096005842,0.02285730081
338,0.002961968592,0.001118947654,0.001098575022,0.02279037256
339,0.002954270068,0.001115427748,0.001101927213,0.02270690963
340,0.002946160721,0.001112037082,0.001105708251,0.02262746688
341,0.002937976605,0.001108772184,0.001109752237,0.02255823095
342,0.002929889987,0.001105616813,0.001113742015,0.02247978368
343,0.002921549387,0.001102398898,0.00111819335,0.02240956193
344,0.002912498293,0.001099207715,0.00112283668,0.0223462009
345,0.002903197708,0.001096136661,0.001128027155,0.02228223089
346,0.00289336717,0.001093109034,0.001133549361,0.02222873513
347,0.002883193829,0.001089986785,0.001138757507,0.02217327833
348,0.002872050368,0.001086716463,0.001143960875,0.02212752081
349,0.002860529993,0.00108338764,0.001149140544,0.02208803468
350,0.00284874458,0.001079900571,0.001154370937,0.0220638398
351,0.002836597106,0.001076176204,0.001159285178,0.02203458983
352,0.002823805685,0.001072259105,0.001164411967,0.02201241132
353,0.002810732558,0.001068259905,0.001168819578,0.02200635799
354,0.002796937435,0.00106399484,0.001172959639,0.02201237464
355,0.002782857039,0.001059422741,0.001176622582,0.02202148708
356,0.002768134895,0.001054597767,0.001180621565,0.02201111057
357,0.002752367142,0.001049442911,0.001183684919,0.02202159517
358,0.002735638122,0.001044041015,0.001186982377,0.02205788681
359,0.002718736574,0.001038312144,0.001188924163,0.02208836595
360,0.002700903854,0.001032377623,0.001191678441,0.02209848002
361,0.002682586064,0.001026134283,0.001193655085,0.02209107055
362,0.002664092124,0.001019674778,0.001195505886,0.022109121
363,0.002645606403,0.001012962702,0.001197001438,0.02212852423
364,0.002627483615,0.001005934808,0.00119875723,0.0221341133
365,0.002609905814,0.0009986776988,0.001200153202,0.02211319272
366,0.002592612758,0.0009911798309,0.00120087989,0.02209538113
367,0.002575813303,0.0009836940216,0.001202194876,0.02210350069
368,0.00255942234,0.0009762195617,0.001202692914,0.02212633566
369,0.002543725431,0.0009688446276,0.001203166197,0.02211417749
370,0.00252895372,0.0009615658978,0.001203670896,0.02207676022
371,0.002514667345,0.0009543391405,0.001203871085,0.02202378237
372,0.002500895015,0.0009472046507,0.001203657166,0.02197111655
373,0.002487651373,0.0009399546068,0.001203186456,0.02189822023
374,0.002474849069,0.0009324542992,0.001202693787,0.02178792815
375,0.002462563481,0.0009248627081,0.00120207429,0.0216660468
376,0.00245116705,0.0009171791992,0.001201349057,0.02154643544
377,0.002439997187,0.0009095349791,0.001200301848,0.02143414395
378,0.002428779647,0.0009019002379,0.001199523276,0.02131956067
379,0.002417351569,0.000894115343,0.001198537459,0.02122072599
380,0.002405990279,0.000886313695,0.001197386471,0.02113965456
381,0.002394292232,0.0008784115489,0.001196212878,0.0210633027
382,0.002382085164,0.0008705577442,0.001194941549,0.0209957167
383,0.002369135523,0.0008626979403,0.001193183096,0.02091499256
384,0.002355541571,0.0008548771735,0.001191631558,0.020822684
385,0.002340837055,0.0008470901346,0.001190337296,0.02074013794
386,0.002325125315,0.0008394122859,0.00118839983,0.02064795734
387,0.002309258349,0.0008317608905,0.001186435841,0.02054030436
388,0.002291939719,0.0008240528968,0.001184328778,0.02043398174
389,0.00227304459,0.0008162760699,0.001181845704,0.02029161974
390,0.002253082307,0.0008085189949,0.001178543627,0.02012301267
391,0.002232087815,0.0008007680062,0.001175112,0.01995564004
392,0.002209611288,0.0007930315935,0.001171176889,0.01977035694
393,0.002186208546,0.0007854602577,0.001166702642,0.01957391549
394,0.002162186887,0.0007779423229,0.001161720313,0.01940588278
395,0.002136941851,0.0007703187213,0.001156327148,0.01925922761
396,0.002110768923,0.0007627744383,0.001150584935,0.01911890145
397,0.002084454712,0.0007552530185,0.001144553574,0.01899150737
398,0.00205791813,0.0007478282906,0.001137630683,0.0188999183
399,0.002031062549,0.0007404438766,0.001130682294,0.01881628725
400,0.002003955675,0.0007330550258,0.001122833819,0.01871501355
401,0.00197677197,0.0007257762534,0.00111490688,0.0186194774
402,0.001950420773,0.0007185839288,0.001107041215,0.01851199068
403,0.001924368447,0.0007114857848,0.001098297117,0.01840699101
404,0.001898597974,0.0007044966679,0.001089558986,0.01830793785
405,0.001873515307,0.0006977301445,0.001080641025,0.01820749129
406,0.001849127312,0.0006911555241,0.001072593664,0.01810263671
407,0.001825497768,0.0006847593555,0.001064461205,0.01798449331
408,0.00180279371,0.0006785461994,0.001056394292,0.01785857612
409,0.001780552798,0.0006724694682,0.001048411814,0.01773380877
410,0.00175927849,0.0006665913798,0.001040506951,0.01762037861
411,0.001738899633,0.0006609148857,0.001032941814,0.01750425515
412,0.00171972654,0.0006555063001,0.001025082058,0.01739162277
413,0.001701253231,0.00065037572,0.001017733756,0.01728312281
414,0.001683742383,0.0006453974142,0.001010728451,0.01716494309
415,0.001667283703,0.0006406180461,0.001003843989,0.01703862952
416,0.001651521315,0.0006360010093,0.000997114566,0.01691492171
417,0.001636369644,0.0006315138563,0.0009909270587,0.0167978403
418,0.001622107096,0.000627162717,0.0009850367659,0.01670553004
419,0.001608969323,0.0006229526071,0.0009794596056,0.01662929276
420,0.001596562496,0.0006188471747,0.0009736942236,0.01653989186
421,0.001584541224,0.0006148761463,0.0009686294457,0.01644164926
422,0.001573294859,0.0006110172953,0.0009638039647,0.01636125013
423,0.001562894645,0.0006072576727,0.000959180887,0.01629649791
424,0.001552694301,0.0006035838807,0.0009547401531,0.01626377368
425,0.001542868903,0.0005999748205,0.0009506726622,0.01621899309
426,0.001533555641,0.0005964623966,0.0009461564852,0.01614854416
427,0.001524429119,0.0005930648025,0.0009426819096,0.01607840114
428,0.0015151115,0.000589721332,0.0009388908721,0.01602700344
429,0.001505723207,0.0005864961195,0.0009357135147,0.01599164994
430,0.001496485164,0.0005833881388,0.0009324144634,0.01595599189
431,0.001487053309,0.0005802883727,0.0009295086117,0.01592172474
432,0.001477432163,0.0005771529981,0.0009266668471,0.01589868066
433,0.001467650491,0.0005740013626,0.0009244448777,0.01587103216
434,0.001457811834,0.0005708351,0.0009217473171,0.01583518035
435,0.001447480603,0.0005676887677,0.0009193889909,0.01580847521
436,0.001436884688,0.0005646000413,0.0009177705871,0.01578132062
437,0.00142600664,0.0005615590412,0.0009159158601,0.01573884074
438,0.001415080318,0.0005584741335,0.0009140269567,0.01570818362
439,0.001404032764,0.0005552681938,0.000912206564,0.0156721875
440,0.001392876129,0.0005519689067,0.0009104292109,0.01563379588
441,0.001381647872,0.0005485808115,0.0009080905579,0.0155824344
442,0.001370189968,0.0005450660742,0.0009059306568,0.01551492884
443,0.001358656637,0.0005414045901,0.0009035137081,0.01544926309
444,0.001347127658,0.0005376016132,0.0009007982413,0.01537645323
445,0.001335780259,0.0005337394514,0.0008978675965,0.01529270691
446,0.001324581934,0.0005297421595,0.0008947760755,0.01520655605
447,0.001313250675,0.0005256448624,0.0008912658552,0.01511134648
448,0.00130216438,0.0005215784312,0.0008874884528,0.01500454689
449,0.001291089015,0.0005174893663,0.0008834630036,0.0148942296
450,0.001280395587,0.000513329957,0.0008790935592,0.01478331815
451,0.001269967017,0.0005092055836,0.0008747992844,0.0146632917
452,0.001259867598,0.0005051131616,0.000870025385,0.01454200682
