# Region            : cellZone gateZone
# Cells             : 1005
# Volume            : 1.730603759569e-04
# Time              	volAverage(Ma)	volAverage(T)	volAverage(rho)	volAverage(p)
0.0001906841        	2.448641403919e+00	3.007396454577e+02	1.350981013260e+00	1.191683551581e+05
0.00019174313       	2.447372986921e+00	3.010247188413e+02	1.354186151316e+00	1.196099098592e+05
0.00019280405       	2.446096553068e+00	3.013129037217e+02	1.357442697212e+00	1.200584615732e+05
0.00019386549       	2.444809308091e+00	3.016038494106e+02	1.360745557762e+00	1.205132770522e+05
0.00019492593       	2.443507474637e+00	3.018972810429e+02	1.364085732716e+00	1.209730736297e+05
0.00019598555       	2.442186319244e+00	3.021936476088e+02	1.367460194727e+00	1.214374190624e+05
0.00019704498       	2.440843165997e+00	3.024929705434e+02	1.370859563481e+00	1.219049620748e+05
0.0001981038        	2.439480169189e+00	3.027950481727e+02	1.374278835332e+00	1.223748883795e+05
0.00019916342       	2.438098557811e+00	3.031012325686e+02	1.377735575507e+00	1.228498047056e+05
0.0002002249        	2.436698785940e+00	3.034117140616e+02	1.381235112103e+00	1.233304900371e+05
0.00020128774       	2.435283425519e+00	3.037260786826e+02	1.384777291962e+00	1.238169867722e+05
0.00020234961       	2.433857557483e+00	3.040433501267e+02	1.388356534300e+00	1.243085927683e+05
0.00020341051       	2.432422278890e+00	3.043632817491e+02	1.391971958860e+00	1.248052723558e+05
0.00020447094       	2.430975867565e+00	3.046858305233e+02	1.395620935317e+00	1.253066973272e+05
0.00020553067       	2.429516872959e+00	3.050111241353e+02	1.399301742306e+00	1.258126643719e+05
0.00020659052       	2.428043046158e+00	3.053398569993e+02	1.403018881022e+00	1.263238956295e+05
0.0002076523        	2.426552528663e+00	3.056724748757e+02	1.406775267168e+00	1.268407680986e+05
0.00020871588       	2.425045854275e+00	3.060091596236e+02	1.410575606617e+00	1.273639254020e+05
0.00020977908       	2.423528108256e+00	3.063488946648e+02	1.414409150266e+00	1.278918622731e+05
0.00021084127       	2.422002234439e+00	3.066913353176e+02	1.418276138868e+00	1.284245858661e+05
0.00021190287       	2.420469427234e+00	3.070362143703e+02	1.422177070641e+00	1.289620616304e+05
0.00021296413       	2.418930473630e+00	3.073835206150e+02	1.426113419841e+00	1.295045049362e+05
