# Region            : cellZone gateZoneInner
# Cells             : 67
# Volume            : 3.020863867237e-04
# Time              	volAverage(Ma)	volAverage(p)	volAverage(T)
0.0032094798        	3.228890758218e+00	6.637478989207e+04	2.188051911445e+02
0.0032136759        	3.228856134654e+00	6.632689027744e+04	2.187597141384e+02
0.0032178765        	3.228793491407e+00	6.628254737750e+04	2.187181639201e+02
0.0032220818        	3.228712400598e+00	6.624964994490e+04	2.186874800474e+02
0.0032262895        	3.228659850093e+00	6.623669408977e+04	2.186753495246e+02
0.0032304988        	3.228672929051e+00	6.625562310946e+04	2.186927657630e+02
0.0032347122        	3.228766478742e+00	6.630879796814e+04	2.187418623077e+02
0.0032389286        	3.228886080197e+00	6.637823763028e+04	2.188070132009e+02
0.0032431451        	3.228952788763e+00	6.644093863123e+04	2.188667478046e+02
0.0032473603        	3.228951186330e+00	6.649282670425e+04	2.189164740711e+02
0.0032515732        	3.228912554652e+00	6.654579874493e+04	2.189672057311e+02
0.0032557827        	3.228868452831e+00	6.659589524333e+04	2.190156758364e+02
0.0032599882        	3.228822215109e+00	6.663434885195e+04	2.190531207753e+02
0.0032641892        	3.228738936720e+00	6.665421210858e+04	2.190734431771e+02
0.0032683858        	3.228573600631e+00	6.664256037088e+04	2.190643495526e+02
0.0032725788        	3.228324898454e+00	6.659809292977e+04	2.190242459172e+02
0.0032767699        	3.228040717974e+00	6.653605098901e+04	2.189678111684e+02
0.0032809607        	3.227789313757e+00	6.648002668587e+04	2.189169900675e+02
0.0032851532        	3.227592065480e+00	6.643628805968e+04	2.188780392537e+02
0.0032893489        	3.227409113400e+00	6.639562488522e+04	2.188421243587e+02
0.0032935489        	3.227243313438e+00	6.635825091408e+04	2.188095778056e+02
0.0032977534        	3.227094596673e+00	6.633336687272e+04	2.187877246184e+02
0.0033019618        	3.226989977311e+00	6.632632453099e+04	2.187817081567e+02
0.0033061725        	3.226947615966e+00	6.634553488689e+04	2.188002219657e+02
0.0033103865        	3.226973850486e+00	6.639494339457e+04	2.188468898455e+02
0.0033146017        	3.227023250146e+00	6.646241193551e+04	2.189114526854e+02
0.0033188169        	3.227033748934e+00	6.652722988419e+04	2.189736993848e+02
0.003323031         	3.227023476081e+00	6.658101382318e+04	2.190243117458e+02
0.003327243         	3.227012746526e+00	6.663404942527e+04	2.190727302602e+02
0.0033314519        	3.227022442804e+00	6.668754097414e+04	2.191208153768e+02
0.003335657         	3.227041410911e+00	6.672986784076e+04	2.191581434238e+02
0.003339858         	3.227015776668e+00	6.675265297796e+04	2.191767572928e+02
0.0033440549        	3.226918403203e+00	6.674621631681e+04	2.191681221732e+02
0.0033482487        	3.226746941879e+00	6.670523851981e+04	2.191258398316e+02
0.0033524407        	3.226554405865e+00	6.664246544266e+04	2.190630018628e+02
0.0033566328        	3.226401460772e+00	6.658063217795e+04	2.190013726989e+02
0.0033608269        	3.226298653853e+00	6.653182784330e+04	2.189519019674e+02
0.0033650244        	3.226211031227e+00	6.648854261696e+04	2.189073412228e+02
0.0033692262        	3.226114358217e+00	6.644596517849e+04	2.188638075140e+02
0.0033734325        	3.226018207109e+00	6.641290376520e+04	2.188297729766e+02
0.0033776414        	3.225962296312e+00	6.639778836355e+04	2.188127900920e+02
0.0033818517        	3.225965912812e+00	6.640993568821e+04	2.188221156341e+02
0.0033860657        	3.226034929260e+00	6.645332982035e+04	2.188605855498e+02
0.0033902821        	3.226118616932e+00	6.651546289459e+04	2.189170989598e+02
0.0033944983        	3.226165132103e+00	6.657476391197e+04	2.189716700246e+02
0.003398713         	3.226170696234e+00	6.662221263475e+04	2.190154396365e+02
0.0034029254        	3.226180951791e+00	6.666676380162e+04	2.190566269002e+02
0.0034071345        	3.226194069469e+00	6.671256687522e+04	2.190990231706e+02
0.0034113395        	3.226201473738e+00	6.675008582230e+04	2.191336376126e+02
0.0034155401        	3.226168131589e+00	6.677200537549e+04	2.191533549981e+02
0.0034197364        	3.226074028796e+00	6.676867924310e+04	2.191499763780e+02
0.0034239294        	3.225903446558e+00	6.673196653517e+04	2.191152250890e+02
0.0034281206        	3.225700731195e+00	6.667053498154e+04	2.190577660881e+02
0.0034323118        	3.225535561445e+00	6.660532859894e+04	2.189970732377e+02
0.0034365049        	3.225422105064e+00	6.655178548720e+04	2.189472555179e+02
0.0034407015        	3.225333536649e+00	6.650493085478e+04	2.189033489043e+02
0.0034449026        	3.225249228807e+00	6.645937728688e+04	2.188605345817e+02
0.0034491083        	3.225174321375e+00	6.642150969099e+04	2.188250608484e+02
0.0034533167        	3.225135958306e+00	6.640043140171e+04	2.188048134572e+02
0.0034575262        	3.225151885647e+00	6.640366624443e+04	2.188077024350e+02
0.0034617396        	3.225241312094e+00	6.643657090493e+04	2.188385388768e+02
0.003465956         	3.225365875550e+00	6.649203054586e+04	2.188910216477e+02
0.0034701724        	3.225466305796e+00	6.655100942536e+04	2.189475493011e+02
0.0034743876        	3.225516377491e+00	6.660004413733e+04	2.189947281291e+02
0.0034786004        	3.225557480529e+00	6.664282226575e+04	2.190356797084e+02
0.0034828099        	3.225605269435e+00	6.668546459495e+04	2.190762398187e+02
0.0034870153        	3.225661031569e+00	6.672149424616e+04	2.191106211201e+02
0.0034912163        	3.225673055715e+00	6.674430769395e+04	2.191324009525e+02
0.0034954129        	3.225618209723e+00	6.674625268259e+04	2.191350029442e+02
0.0034996059        	3.225467913935e+00	6.671738394144e+04	2.191085964413e+02
0.0035037968        	3.225258576899e+00	6.666350154581e+04	2.190585609352e+02
0.0035079874        	3.225070562160e+00	6.660421053406e+04	2.190036755424e+02
0.0035121796        	3.224942820988e+00	6.655551889839e+04	2.189588744616e+02
0.0035163751        	3.224850404328e+00	6.651466765934e+04	2.189214015392e+02
0.0035205748        	3.224744582822e+00	6.647602285858e+04	2.188858350541e+02
0.0035247791        	3.224622606258e+00	6.644575985427e+04	2.188581497927e+02
0.0035289873        	3.224512351116e+00	6.643068344830e+04	2.188440426106e+02
0.0035331977        	3.224436786217e+00	6.643493076032e+04	2.188482180247e+02
0.0035374114        	3.224417166331e+00	6.646533543709e+04	2.188772799874e+02
0.0035416266        	3.224443558059e+00	6.651849858082e+04	2.189283131624e+02
0.0035458419        	3.224489582641e+00	6.657689453473e+04	2.189849632060e+02
0.0035500562        	3.224496783478e+00	6.662818362252e+04	2.190345950415e+02
0.0035542683        	3.224481420597e+00	6.667432605921e+04	2.190786588081e+02
0.0035584775        	3.224452916560e+00	6.671997587252e+04	2.191220924306e+02
0.0035626828        	3.224434893323e+00	6.676027528192e+04	2.191606166808e+02
0.0035668839        	3.224425126638e+00	6.678805626695e+04	2.191872051792e+02
0.0035710809        	3.224371719138e+00	6.679729552470e+04	2.191964594988e+02
0.0035752745        	3.224258335430e+00	6.677807205524e+04	2.191786937558e+02
0.003579466         	3.224098594543e+00	6.673237858295e+04	2.191355222829e+02
0.0035836573        	3.223972266830e+00	6.667754349014e+04	2.190834184272e+02
0.0035878503        	3.223906993067e+00	6.662924982927e+04	2.190371347250e+02
0.0035920467        	3.223903683193e+00	6.658749730159e+04	2.189966295728e+02
0.0035962474        	3.223920431243e+00	6.654812785993e+04	2.189585970160e+02
0.0036004527        	3.223958928495e+00	6.651467661927e+04	2.189269237651e+02
0.0036046618        	3.224025130695e+00	6.649334338833e+04	2.189064621985e+02
0.0036088716        	3.224133884735e+00	6.648861130260e+04	2.189015510087e+02
0.0036130851        	3.224317403927e+00	6.650778243545e+04	2.189188665616e+02
0.0036173013        	3.224547085583e+00	6.655132915410e+04	2.189591309446e+02
0.0036215174        	3.224776439116e+00	6.660440962759e+04	2.190089290465e+02
0.0036257323        	3.224969967387e+00	6.665111020676e+04	2.190534835157e+02
0.0036299448        	3.225162881271e+00	6.668996406401e+04	2.190908409077e+02
0.003634154         	3.225366627559e+00	6.672603490407e+04	2.191249612204e+02
0.0036383591        	3.225575775868e+00	6.675799874612e+04	2.191547532304e+02
0.0036425598        	3.225779724698e+00	6.677965683071e+04	2.191738950381e+02
0.003646756         	3.225919800910e+00	6.678577853898e+04	2.191781711740e+02
0.0036509485        	3.225990159505e+00	6.676554851450e+04	2.191575920327e+02
0.0036551387        	3.225981385045e+00	6.671806800878e+04	2.191110464321e+02
0.0036593287        	3.225949479700e+00	6.665798516744e+04	2.190527080491e+02
0.0036635204        	3.225951181016e+00	6.660303700440e+04	2.189993799730e+02
0.0036677156        	3.225978213579e+00	6.655735467864e+04	2.189546537184e+02
0.0036719156        	3.225993579448e+00	6.651578303200e+04	2.189129654382e+02
0.0036761207        	3.225993432640e+00	6.648063184035e+04	2.188777329875e+02
0.0036803266        	3.225992709956e+00	6.645701648776e+04	2.188535516021e+02
0.0036845335        	3.225996936861e+00	6.644947145542e+04	2.188448824831e+02
0.0036887442        	3.226038912891e+00	6.646597293654e+04	2.188593878204e+02
0.0036929607        	3.226114612616e+00	6.650678368408e+04	2.188964656014e+02
0.0036971783        	3.226191675966e+00	6.655740612545e+04	2.189433134009e+02
0.0037013944        	3.226237618355e+00	6.660269836582e+04	2.189855010196e+02
0.0037056093        	3.226274465076e+00	6.663943309711e+04	2.190195148671e+02
0.0037098208        	3.226322044358e+00	6.667396053964e+04	2.190511675779e+02
0.003714028         	3.226366420578e+00	6.670580619918e+04	2.190806965943e+02
0.0037182304        	3.226387022185e+00	6.672891133765e+04	2.191025603540e+02
0.0037224277        	3.226354548521e+00	6.673855279772e+04	2.191120603449e+02
0.0037266207        	3.226266429233e+00	6.672181016220e+04	2.190970587040e+02
0.0037308108        	3.226127913731e+00	6.667617031855e+04	2.190545625780e+02
0.0037349998        	3.225994852502e+00	6.661620247611e+04	2.189991659349e+02
0.0037391902        	3.225925250996e+00	6.655886909219e+04	2.189470354477e+02
0.0037433837        	3.225904147340e+00	6.650901525314e+04	2.189026960685e+02
0.0037475819        	3.225887480561e+00	6.646215609844e+04	2.188617031426e+02
0.0037517855        	3.225867480368e+00	6.641943068475e+04	2.188247342318e+02
0.003755989         	3.225855158494e+00	6.638725593252e+04	2.187973483716e+02
0.0037601933        	3.225888873512e+00	6.637032789324e+04	2.187842987126e+02
0.0037644006        	3.226002095173e+00	6.637835176493e+04	2.187952539496e+02
0.0037686133        	3.226180462674e+00	6.641264312503e+04	2.188311145420e+02
0.0037728312        	3.226373438722e+00	6.646103043945e+04	2.188811202236e+02
0.0037770474        	3.226504331840e+00	6.650656802760e+04	2.189288873064e+02
0.0037812621        	3.226590113897e+00	6.654401485557e+04	2.189689870943e+02
0.0037854761        	3.226681329673e+00	6.657883496484e+04	2.190056885817e+02
0.0037896862        	3.226787878513e+00	6.661067318435e+04	2.190386421895e+02
0.0037938914        	3.226907546827e+00	6.663337341219e+04	2.190621359597e+02
0.0037980916        	3.226953725193e+00	6.664192161114e+04	2.190715981365e+02
0.0038022869        	3.226908549014e+00	6.662703550700e+04	2.190587720226e+02
0.0038064786        	3.226794962566e+00	6.658525238651e+04	2.190203216746e+02
0.0038106684        	3.226670067904e+00	6.652864542631e+04	2.189677171808e+02
0.0038148585        	3.226600599500e+00	6.647660677534e+04	2.189188252734e+02
0.0038190509        	3.226579931817e+00	6.643329515343e+04	2.188768091047e+02
0.0038232473        	3.226565338922e+00	6.639233536738e+04	2.188360693645e+02
0.0038274485        	3.226524095117e+00	6.635649766923e+04	2.188007072407e+02
0.0038316539        	3.226474115703e+00	6.633247280563e+04	2.187768545971e+02
0.0038358601        	3.226444586431e+00	6.632455826028e+04	2.187679387095e+02
0.0038400683        	3.226478049259e+00	6.634060097583e+04	2.187812418885e+02
0.0038442811        	3.226580687861e+00	6.638398234048e+04	2.188199356787e+02
0.0038484986        	3.226711513913e+00	6.644087010380e+04	2.188716286557e+02
0.003852716         	3.226791962424e+00	6.649390499327e+04	2.189203899126e+02
0.003856932         	3.226846764488e+00	6.654037224685e+04	2.189632604898e+02
0.0038611455        	3.226901226015e+00	6.658746595797e+04	2.190067168428e+02
0.0038653555        	3.226980364543e+00	6.663407015798e+04	2.190505584234e+02
0.0038695612        	3.227097723207e+00	6.667129503236e+04	2.190857922555e+02
0.0038737623        	3.227199537766e+00	6.669338594767e+04	2.191070883994e+02
0.0038779589        	3.227256962803e+00	6.668619940415e+04	2.191011953325e+02
0.0038821521        	3.227244692342e+00	6.664617035830e+04	2.190641159229e+02
0.0038863434        	3.227207567205e+00	6.658980011903e+04	2.190117615428e+02
0.0038905348        	3.227209957518e+00	6.653854941105e+04	2.189644411138e+02
0.0038947283        	3.227241908757e+00	6.649513253996e+04	2.189247079621e+02
0.0038989254        	3.227299539712e+00	6.645074442214e+04	2.188837970724e+02
0.003903127         	3.227358666330e+00	6.640829025504e+04	2.188448438131e+02
0.0039073333        	3.227430729424e+00	6.637587319589e+04	2.188145344460e+02
0.0039115409        	3.227538802753e+00	6.635939247366e+04	2.187989939677e+02
0.0039157506        	3.227697064559e+00	6.636863102168e+04	2.188078881281e+02
0.0039199648        	3.227911205289e+00	6.640732430437e+04	2.188442379487e+02
0.0039241815        	3.228122231065e+00	6.646123212433e+04	2.188953686896e+02
0.003928398         	3.228296264448e+00	6.651018043396e+04	2.189413713307e+02
0.003932613         	3.228447606884e+00	6.655045799375e+04	2.189785193718e+02
0.0039368255        	3.228611051840e+00	6.658995445673e+04	2.190142472928e+02
0.0039410344        	3.228765279899e+00	6.662815082317e+04	2.190486994920e+02
0.003945239         	3.228916169955e+00	6.665850687002e+04	2.190756339002e+02
0.003949439         	3.228997774219e+00	6.667508722566e+04	2.190897048870e+02
0.0039536347        	3.228984335454e+00	6.666404002510e+04	2.190782024148e+02
0.0039578271        	3.228895632756e+00	6.661956698892e+04	2.190345833821e+02
0.0039620177        	3.228762793654e+00	6.655539188624e+04	2.189729498873e+02
0.0039662085        	3.228666978881e+00	6.649502768497e+04	2.189152318713e+02
0.0039704015        	3.228602597026e+00	6.644693018598e+04	2.188691601789e+02
0.0039745981        	3.228541197734e+00	6.640319772059e+04	2.188267876627e+02
0.0039787994        	3.228448355817e+00	6.636326842687e+04	2.187881367723e+02
0.0039830055        	3.228329930632e+00	6.633476013114e+04	2.187600541532e+02
0.0039872126        	3.228241436611e+00	6.632248742102e+04	2.187468793767e+02
0.0039914214        	3.228209408832e+00	6.633416099478e+04	2.187566962538e+02
0.0039956347        	3.228232917339e+00	6.637366249747e+04	2.187923954959e+02
0.0039998519        	3.228276856192e+00	6.642901891510e+04	2.188436994363e+02
0.0040040691        	3.228281015702e+00	6.648028569021e+04	2.188913296534e+02
