utc	avail_GiB	snappy_RSS_GiB	stage
2026-09-12T02:16:17Z	10.52	4.30	
2026-09-12T02:16:27Z	9.47	4.83	
2026-09-12T02:16:37Z	9.76	4.73	
2026-09-12T02:16:47Z	10.64	3.88	
2026-09-12T02:16:57Z	10.13	3.42	
2026-09-12T02:17:07Z	10.58	3.42	
2026-09-12T02:17:17Z	10.79	3.65	
2026-09-12T02:17:27Z	11.22	3.36	
2026-09-12T02:17:38Z	10.73	3.59	
2026-09-12T02:17:48Z	10.87	3.36	
2026-09-12T02:17:58Z	10.17	3.68	
2026-09-12T02:18:08Z	9.82	4.06	
2026-09-12T02:18:18Z	10.05	4.06	
2026-09-12T02:18:28Z	10.31	3.21	
2026-09-12T02:18:38Z	10.78	3.34	    Number of edges to retest   : 156
2026-09-12T02:18:48Z	10.56	3.56	    Number of edges to retest   : 156
2026-09-12T02:18:59Z	9.96	3.82	    Number of edges to retest   : 156
2026-09-12T02:19:09Z	10.13	3.90	
2026-09-12T02:19:19Z	9.74	3.90	
2026-09-12T02:19:29Z	9.66	3.90	
2026-09-12T02:19:39Z	10.29	3.90	
2026-09-12T02:19:49Z	9.56	3.90	
2026-09-12T02:19:59Z	10.39	3.90	
2026-09-12T02:20:09Z	9.67	3.90	
2026-09-12T02:20:20Z	9.83	4.15	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:20:30Z	10.25	3.44	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:20:40Z	10.67	3.59	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:20:50Z	10.51	3.44	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:21:00Z	10.15	3.56	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:21:10Z	10.37	3.56	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:21:20Z	10.32	3.76	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:21:30Z	10.02	4.25	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:21:41Z	9.54	4.25	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:21:51Z	10.24	3.78	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:22:01Z	11.43	2.74	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:22:11Z	11.54	2.74	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:22:21Z	10.17	3.05	    Number of edges to retest   : 1068407
2026-09-12T02:22:31Z	10.42	3.43	    Number of edges to retest   : 1068407
2026-09-12T02:22:41Z	10.58	3.43	
2026-09-12T02:22:51Z	12.12	0.00	
