# Region            : cellZone slabA
# Cells             : 60
# Volume            : 6.972459419793e-09
# Time              	volAverage(p)
381                 	8.503263364702e+03
382                 	8.503263364534e+03
383                 	8.503263364155e+03
384                 	8.503263364157e+03
385                 	8.503263364359e+03
386                 	8.503263364533e+03
387                 	8.503263364533e+03
388                 	8.503263364594e+03
389                 	8.503263364589e+03
390                 	8.503263364248e+03
391                 	8.503263364304e+03
392                 	8.503263364425e+03
393                 	8.503263364375e+03
394                 	8.503263364403e+03
395                 	8.503263364317e+03
396                 	8.503263364366e+03
397                 	8.503263364301e+03
398                 	8.503263364480e+03
399                 	8.503263364557e+03
400                 	8.503263364265e+03
401                 	8.503263364222e+03
402                 	8.503263364609e+03
403                 	8.503263364453e+03
404                 	8.503263364421e+03
405                 	8.503263364209e+03
406                 	8.503263364377e+03
407                 	8.503263364686e+03
408                 	8.503263364568e+03
409                 	8.503263364157e+03
410                 	8.503263364098e+03
411                 	8.503263364280e+03
412                 	8.503263364605e+03
413                 	8.503263364619e+03
414                 	8.503263364324e+03
415                 	8.503263364443e+03
416                 	8.503263364360e+03
417                 	8.503263364544e+03
418                 	8.503263364212e+03
419                 	8.503263364183e+03
420                 	8.503263364304e+03
421                 	8.503263364542e+03
422                 	8.503263364894e+03
423                 	8.503263364450e+03
424                 	8.503263364069e+03
425                 	8.503263364106e+03
426                 	8.503263364282e+03
427                 	8.503263364463e+03
428                 	8.503263364830e+03
429                 	8.503263364555e+03
430                 	8.503263364404e+03
431                 	8.503263364062e+03
432                 	8.503263364092e+03
433                 	8.503263364551e+03
434                 	8.503263364639e+03
435                 	8.503263364385e+03
436                 	8.503263364469e+03
437                 	8.503263364261e+03
438                 	8.503263364621e+03
439                 	8.503263364416e+03
440                 	8.503263364362e+03
441                 	8.503263364282e+03
442                 	8.503263364238e+03
443                 	8.503263364177e+03
444                 	8.503263364434e+03
445                 	8.503263364674e+03
446                 	8.503263364447e+03
447                 	8.503263364380e+03
448                 	8.503263364318e+03
449                 	8.503263364340e+03
450                 	8.503263364490e+03
451                 	8.503263364548e+03
452                 	8.503263364684e+03
453                 	8.503263363935e+03
454                 	8.503263364076e+03
455                 	8.503263364446e+03
456                 	8.503263364831e+03
457                 	8.503263364504e+03
458                 	8.503263364537e+03
459                 	8.503263364357e+03
460                 	8.503263363909e+03
461                 	8.503263364054e+03
462                 	8.503263364433e+03
463                 	8.503263364862e+03
464                 	8.503263364874e+03
465                 	8.503263364494e+03
466                 	8.503263363752e+03
467                 	8.503263364250e+03
468                 	8.503263364463e+03
469                 	8.503263364799e+03
470                 	8.503263364362e+03
471                 	8.503263364366e+03
472                 	8.503263364503e+03
473                 	8.503263364311e+03
474                 	8.503263364214e+03
475                 	8.503263364411e+03
476                 	8.503263364375e+03
477                 	8.503263364411e+03
478                 	8.503263364403e+03
479                 	8.503263364521e+03
480                 	8.503263364376e+03
481                 	8.503263364476e+03
482                 	8.503263364444e+03
483                 	8.503263364421e+03
484                 	8.503263364296e+03
485                 	8.503263364086e+03
486                 	8.503263364208e+03
487                 	8.503263364754e+03
488                 	8.503263364747e+03
489                 	8.503263364267e+03
490                 	8.503263364147e+03
491                 	8.503263364216e+03
492                 	8.503263364335e+03
493                 	8.503263364435e+03
494                 	8.503263364879e+03
495                 	8.503263364647e+03
496                 	8.503263364105e+03
497                 	8.503263364333e+03
498                 	8.503263364121e+03
499                 	8.503263364332e+03
500                 	8.503263364478e+03
501                 	8.503263364512e+03
502                 	8.503263364475e+03
503                 	8.503263364278e+03
504                 	8.503263364448e+03
505                 	8.503263364556e+03
506                 	8.503263364303e+03
507                 	8.503263364455e+03
508                 	8.503263364375e+03
509                 	8.503263364336e+03
510                 	8.503263364448e+03
511                 	8.503263364434e+03
512                 	8.503263364381e+03
513                 	8.503263364205e+03
514                 	8.503263364185e+03
515                 	8.503263364839e+03
516                 	8.503263364866e+03
517                 	8.503263364505e+03
518                 	8.503263363946e+03
519                 	8.503263363704e+03
520                 	8.503263364308e+03
521                 	8.503263364919e+03
522                 	8.503263364679e+03
523                 	8.503263364398e+03
524                 	8.503263364321e+03
525                 	8.503263364173e+03
526                 	8.503263364176e+03
527                 	8.503263364625e+03
528                 	8.503263364709e+03
529                 	8.503263364494e+03
530                 	8.503263364282e+03
531                 	8.503263364110e+03
532                 	8.503263364328e+03
533                 	8.503263364604e+03
534                 	8.503263364366e+03
535                 	8.503263364446e+03
536                 	8.503263364601e+03
537                 	8.503263364232e+03
538                 	8.503263364173e+03
539                 	8.503263364450e+03
540                 	8.503263364657e+03
541                 	8.503263364540e+03
542                 	8.503263364153e+03
543                 	8.503263364232e+03
544                 	8.503263364416e+03
545                 	8.503263364640e+03
