mesh_cell_index,x_min_m,x_max_m,y_min_m,y_max_m,module_cell,T_K_at_t_0s,T_K_at_t_30s,T_K_at_t_60s,T_K_at_t_120s,T_K_at_t_300s,T_K_at_t_900s
437,0.085000000,0.090000000,0.114000000,0.119000000,4,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
438,0.090000000,0.095000000,0.114000000,0.119000000,4,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
439,0.095000000,0.100000000,0.114000000,0.119000000,4,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
440,0.000000000,0.005000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
441,0.005000000,0.010000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
442,0.010000000,0.015000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
443,0.015000000,0.020000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
444,0.020000000,0.025000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
445,0.025000000,0.030000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
446,0.030000000,0.035000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
447,0.035000000,0.040000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
448,0.040000000,0.045000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
449,0.045000000,0.050000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
450,0.050000000,0.055000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
451,0.055000000,0.060000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
452,0.060000000,0.065000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
453,0.065000000,0.070000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
454,0.070000000,0.075000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
455,0.075000000,0.080000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
456,0.080000000,0.085000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
457,0.085000000,0.090000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
458,0.090000000,0.095000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
459,0.095000000,0.100000000,0.119000000,0.124000000,4,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
460,0.000000000,0.005000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
461,0.005000000,0.010000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
462,0.010000000,0.015000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
463,0.015000000,0.020000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
464,0.020000000,0.025000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
465,0.025000000,0.030000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
466,0.030000000,0.035000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
467,0.035000000,0.040000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
468,0.040000000,0.045000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
469,0.045000000,0.050000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
470,0.050000000,0.055000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
471,0.055000000,0.060000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
472,0.060000000,0.065000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
473,0.065000000,0.070000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
474,0.070000000,0.075000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
475,0.075000000,0.080000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
476,0.080000000,0.085000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
477,0.085000000,0.090000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
478,0.090000000,0.095000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
479,0.095000000,0.100000000,0.124000000,0.129000000,4,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
480,0.000000000,0.005000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
481,0.005000000,0.010000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
482,0.010000000,0.015000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
483,0.015000000,0.020000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
484,0.020000000,0.025000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
485,0.025000000,0.030000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
486,0.030000000,0.035000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
487,0.035000000,0.040000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
488,0.040000000,0.045000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
489,0.045000000,0.050000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
490,0.050000000,0.055000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
491,0.055000000,0.060000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
