# DIGITIZED from Wibron, Ljung and Lundstrom 2018, Energies 11(3):644, CC-BY.
# Source PDF sha256 4de4798ed5eed60feda123c7a2398674a6a9177f44906175847d90f5227d7b77
# Produced by docs/campaigns/F14-cooling-ladder/digitize_wibron2018.py --write
# NOT TABULATED IN THE PAPER.  Every value below is a figure reading.
# Digitisation increments, derived by the controls printed by the
# command above and restated here so no reader can quote a value
# finer than it was measured (L-28):
#   temperature  +-0.03 K      velocity  +-0.007 m/s      height  +-0.005 m
# More decimals are carried below only so the file round-trips; the
# graded value is the one at the increment.
# Figure 3a (four computed L1 profiles, RSM) and Figure 3b
# (fine-grid GCI band half-width).  ***NOT A REFERENCE VALUE.***
# The paper plots NO experiment in Figure 3; every column below is
# a CFD output or a discretisation-uncertainty estimate, and no gate
# row may be armed on any of them.  Curve-class increment +-0.0001
# m/s (control C5); heights +-0.005 m (control C6).
# Paper's own caveat, Sec. 4.1 p. 7: local order of accuracy p runs
# 0.0197 to 27.70, global average 6.583.
# height_m  v_coarse  v_medium  v_fine  v_extrapolated  gci_halfwidth   (m/s)
   0.9469    0.5299    0.4975    0.4888    0.4870    0.0022
   0.9532    0.5314    0.4992    0.4898    0.4878    0.0024
   0.9595    0.5329    0.5009    0.4910    0.4889    0.0025
   0.9658    0.5344    0.5026    0.4923    0.4902    0.0026
   0.9721    0.5360    0.5043    0.4936    0.4914    0.0027
   0.9785    0.5375    0.5060    0.4949    0.4927    0.0028
   0.9848    0.5390    0.5077    0.4960    0.4936    0.0030
   0.9911    0.5406    0.5094    0.4969    0.4944    0.0032
   0.9974    0.5421    0.5112    0.4979    0.4952    0.0034
   1.0037    0.5437    0.5127    0.4988    0.4960    0.0035
   1.0100    0.5452    0.5137    0.4998    0.4970    0.0035
   1.0163    0.5468    0.5148    0.5010    0.4982    0.0035
   1.0226    0.5483    0.5158    0.5022    0.4994    0.0035
   1.0290    0.5499    0.5168    0.5034    0.5006    0.0034
   1.0353    0.5515    0.5178    0.5047    0.5020    0.0033
   1.0416    0.5546    0.5196    0.5061    0.5034    0.0034
   1.0479    0.5580    0.5215    0.5076    0.5048    0.0035
   1.0542    0.5617    0.5234    0.5088    0.5059    0.0037
   1.0605    0.5654    0.5252    0.5100    0.5069    0.0039
   1.0668    0.5677    0.5270    0.5112    0.5080    0.0040
   1.0731    0.5693    0.5289    0.5124    0.5090    0.0042
   1.0795    0.5709    0.5308    0.5135    0.5100    0.0044
   1.0858    0.5725    0.5327    0.5147    0.5111    0.0046
   1.0921    0.5741    0.5346    0.5159    0.5121    0.0048
   1.0984    0.5757    0.5366    0.5171    0.5131    0.0050
   1.1047    0.5773    0.5379    0.5185    0.5146    0.0049
   1.1110    0.5789    0.5389    0.5201    0.5163    0.0048
   1.1173    0.5805    0.5400    0.5217    0.5179    0.0047
   1.1236    0.5822    0.5411    0.5230    0.5193    0.0046
   1.1300    0.5838    0.5422    0.5244    0.5208    0.0045
   1.1363    0.5855    0.5431    0.5259    0.5224    0.0044
   1.1426    0.5871    0.5448    0.5274    0.5239    0.0044
   1.1489    0.5888    0.5465    0.5289    0.5253    0.0045
   1.1552    0.5904    0.5482    0.5303    0.5266    0.0046
   1.1615    0.5921    0.5499    0.5315    0.5278    0.0047
   1.1678    0.5937    0.5516    0.5328    0.5290    0.0048
   1.1741    0.5954    0.5533    0.5341    0.5302    0.0049
   1.1805    0.5975    0.5550    0.5354    0.5314    0.0050
   1.1868    0.6009    0.5568    0.5367    0.5326    0.0051
   1.1931    0.6043    0.5587    0.5380    0.5338    0.0053
   1.1994    0.6077    0.5606    0.5393    0.5350    0.0054
