iteration,Y'(-12),Y'(-8),Y'(-4),Y'(+0),Y'(+4),Y'(+8),Y'(+12),N'(-12),N'(-8),N'(-4),N'(+0),N'(+4),N'(+8),N'(+12)
1757,-0.00019464070913811018,-0.00018183336541696937,-9.826210971054766e-05,-2.3079199816678445e-08,9.825445592049783e-05,0.00018195181792541958,0.0001945039047405762,0.0005477451055324998,0.0003219258134994249,0.00015492437895730845,8.456054440989973e-09,-0.00015492801287678488,-0.00032194387260583247,-0.0005477448178883179
1758,-0.0001946421969360674,-0.0001818344708615314,-9.826165519286284e-05,-2.3073364147614044e-08,9.825390808194427e-05,0.0001819515238081811,0.00019450755291551186,0.0005477451174637216,0.0003219256583010528,0.00015492434647710088,8.651562042134309e-09,-0.0001549282044399484,-0.0003219436228132201,-0.0005477446701585205
1759,-0.00019464431703731912,-0.00018183616115141917,-9.825894775466811e-05,-2.3392100799937215e-08,9.825259652083335e-05,0.0001819518928020153,0.00019451138975976444,0.0005477449012912571,0.0003219252977746794,0.0001549248316408082,8.609026718151244e-09,-0.00015492857505005394,-0.0003219432793050234,-0.0005477445268220025
1760,-0.0001946467812851978,-0.00018183822146962048,-9.825829446622253e-05,-2.3639230744062227e-08,9.825344302636383e-05,0.00018195269542986068,0.00019451423184873833,0.0005477447581397194,0.0003219248845058318,0.00015492487928476617,8.745250688991634e-09,-0.0001549283829550724,-0.0003219427032536162,-0.0005477443509520951
1761,-0.00019464718459418772,-0.00018183847252296423,-9.82580037154752e-05,-2.4025104149157488e-08,9.825423678822912e-05,0.0001819518850976077,0.00019451815609171204,0.0005477449896192937,0.00032192486216947494,0.00015492467612103302,8.677962845310858e-09,-0.00015492816490968368,-0.0003219426839925548,-0.0005477439811073451
1762,-0.0001946484621859546,-0.0001818389736641377,-9.825738455597897e-05,-2.3547703855497392e-08,9.825431265496931e-05,0.00018195050508253954,0.00019451989950457406,0.0005477450874738096,0.00032192483745149814,0.000154924618980655,8.907722058481747e-09,-0.00015492819948247956,-0.0003219427195318721,-0.0005477439198789051
1763,-0.00019465123825544584,-0.00018183989807482516,-9.825595415093236e-05,-2.159983065475612e-08,9.825432569729002e-05,0.00018194968628726084,0.00019452176075940473,0.0005477447749035482,0.00032192467564008453,0.00015492475007379726,9.408048245596744e-09,-0.00015492824098972,-0.0003219425508761918,-0.0005477437791783547
1764,-0.00019465363011933131,-0.0001818419878904643,-9.825503413825968e-05,-2.162398048002617e-08,9.825387452540677e-05,0.00018195040047205355,0.0001945239677372118,0.0005477446523310556,0.00032192428470759383,0.00015492483723414643,9.507460921959768e-09,-0.0001549284341968949,-0.0003219421141842287,-0.0005477434174958551
1765,-0.00019465459538702435,-0.000181843038813042,-9.825399208954381e-05,-2.1051691379046694e-08,9.825400208359892e-05,0.0001819507091015586,0.00019452629278358775,0.000547744827669145,0.00032192408610824663,0.00015492483171711255,9.55945578349705e-09,-0.00015492846109763775,-0.0003219417161762461,-0.0005477430708892404
1766,-0.00019465689720195124,-0.00018184326630981467,-9.825275451242078e-05,-2.0737672927621e-08,9.825372659486927e-05,0.00018195022356624397,0.0001945275035381408,0.0005477448656363272,0.0003219241301566523,0.00015492495643999981,9.684320846293208e-09,-0.0001549286117339362,-0.0003219415010674177,-0.0005477429008693312
1767,-0.00019465888205242581,-0.00018184582257708867,-9.825175747931723e-05,-2.0536721581063455e-08,9.825413978067324e-05,0.00018194998810890691,0.0001945294401030633,0.0005477450788028636,0.0003219235632386416,0.00015492500398221867,9.76465179331823e-09,-0.00015492852591238103,-0.0003219414234913542,-0.0005477425823797041
1768,-0.0001946606048249631,-0.00018184844364217456,-9.82519074472863e-05,-2.130680829535341e-08,9.825457631615247e-05,0.0001819494369284927,0.00019453030813955591,0.0005477454434450461,0.0003219230363688401,0.00015492477453742624,9.740603852726058e-09,-0.0001549284277919561,-0.0003219412837619497,-0.0005477424546971338
1769,-0.00019466455209249,-0.00018184995261247446,-9.825242929282375e-05,-2.067702985648097e-08,9.825516372501645e-05,0.0001819491445550907,0.0001945325718166799,0.0005477452916456848,0.0003219227176711102,0.00015492438469169408,9.892150879325374e-09,-0.00015492826218382427,-0.0003219411098805792,-0.0005477420917428955
1770,-0.0001946690003829642,-0.0001818514557798382,-9.825287788639054e-05,-1.983292107954593e-08,9.825421591834849e-05,0.00018194979504551612,0.00019453301611075375,0.0005477451024109593,0.0003219224045690308,0.0001549241209885721,1.0159826266428718e-08,-0.00015492853536255605,-0.00032194072211587415,-0.0005477420329654429
1771,-0.00019467340930411257,-0.00018185316979378423,-9.825247739216954e-05,-1.9650748630489822e-08,9.82540182638401e-05,0.0001819503956937445,0.00019453347091710754,0.0005477447845225177,0.00032192196114841365,0.00015492401212773536,1.0176417972690141e-08,-0.0001549285893143382,-0.0003219403545140088,-0.000547741911040381
1772,-0.00019467714182359245,-0.000181852966513679,-9.825088008325016e-05,-2.0250587667483795e-08,9.825332213514436e-05,0.00018194803628295198,0.00019453542042779937,0.00054774460580854,0.0003219220134053149,0.00015492423870764726,1.015967889294948e-08,-0.00015492877679175194,-0.00032194065670225757,-0.0005477413854191957
1773,-0.00019467866081356318,-0.00018185305366609554,-9.824913807333909e-05,-1.9825294716004946e-08,9.825195474564957e-05,0.00018194824445959252,0.00019453735267746538,0.0005477447618162005,0.00032192195606145865,0.00015492439974445636,1.0190626226194603e-08,-0.00015492910225281973,-0.00032194044850706346,-0.0005477408493003851
1774,-0.0001946804230342438,-0.00018185407050997,-9.824974021515847e-05,-2.05597007275079e-08,9.825262244192855e-05,0.00018194901136341996,0.00019453560090009942,0.0005477448641564857,0.0003219216949388102,0.00015492404832142013,1.0074151580941329e-08,-0.00015492892795293165,-0.0003219400502678556,-0.0005477408553816087
