# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
58                  	DILUPBiCGStab	2.143911728810e-03	1.636316643320e-04	1	3.696869775710e-03	3.322398761140e-04	1	false	DICPCG	5.209646252180e-03	3.402703648320e-05	69	true
59                  	DILUPBiCGStab	2.091505325720e-03	1.592899679020e-04	1	3.605815157740e-03	3.210644778930e-04	1	false	DICPCG	5.061764473170e-03	4.866503841420e-05	68	true
60                  	DILUPBiCGStab	2.040076266720e-03	1.550873146420e-04	1	3.516357253190e-03	3.104829358540e-04	1	false	DICPCG	4.917670261630e-03	3.102095990980e-05	69	true
61                  	DILUPBiCGStab	1.989998178900e-03	1.509814931500e-04	1	3.428119379460e-03	3.002924946280e-04	1	false	DICPCG	4.774478041020e-03	3.010873246690e-05	69	true
62                  	DILUPBiCGStab	1.941481475510e-03	1.469251604190e-04	1	3.341816266570e-03	2.903909095300e-04	1	false	DICPCG	4.638359337790e-03	4.577411454260e-05	68	true
63                  	DILUPBiCGStab	1.893568041400e-03	1.430001790220e-04	1	3.257123854920e-03	2.809988278250e-04	1	false	DICPCG	4.507925657660e-03	4.386839639500e-05	68	true
64                  	DILUPBiCGStab	1.846493513610e-03	1.391649028480e-04	1	3.175076477370e-03	2.719558787620e-04	1	false	DICPCG	4.380792697390e-03	3.718164227700e-05	68	true
65                  	DILUPBiCGStab	1.800554656050e-03	1.354647057230e-04	1	3.095223710900e-03	2.632771134760e-04	1	false	DICPCG	4.255469631280e-03	3.830271152290e-05	68	true
66                  	DILUPBiCGStab	1.755817841490e-03	1.319084359360e-04	1	3.016952725580e-03	2.548310672180e-04	1	false	DICPCG	4.135521511620e-03	3.680355419210e-05	68	true
67                  	DILUPBiCGStab	1.711979539150e-03	1.285021956880e-04	1	2.940177239300e-03	2.468110690680e-04	1	false	DICPCG	4.014430378060e-03	3.509761273010e-05	68	true
68                  	DILUPBiCGStab	1.668978228150e-03	1.252134812190e-04	1	2.864934590550e-03	2.391254039660e-04	1	false	DICPCG	3.894084875940e-03	3.002245826270e-05	68	true
69                  	DILUPBiCGStab	1.626667046200e-03	1.219737431310e-04	1	2.791296389480e-03	2.317151910570e-04	1	false	DICPCG	3.773685662310e-03	3.222366738930e-05	68	true
70                  	DILUPBiCGStab	1.585755924700e-03	1.187957781130e-04	1	2.718866185750e-03	2.246155381460e-04	1	false	DICPCG	3.657275594900e-03	3.287647716710e-05	68	true
71                  	DILUPBiCGStab	1.546125372830e-03	1.156818490550e-04	1	2.648958117020e-03	2.176602165810e-04	1	false	DICPCG	3.544940794190e-03	3.075612724820e-05	68	true
72                  	DILUPBiCGStab	1.507421934580e-03	1.126901193770e-04	1	2.580797387630e-03	2.109771575400e-04	1	false	DICPCG	3.437276947920e-03	3.004010146750e-05	68	true
73                  	DILUPBiCGStab	1.469529906390e-03	1.097846319010e-04	1	2.514711485180e-03	2.045695650310e-04	1	false	DICPCG	3.332101757850e-03	2.721210798160e-05	68	true
74                  	DILUPBiCGStab	1.432491041910e-03	1.069396761660e-04	1	2.449972598040e-03	1.983756004790e-04	1	false	DICPCG	3.231802156020e-03	2.629309610000e-05	68	true
75                  	DILUPBiCGStab	1.396226971260e-03	1.041462008610e-04	1	2.386895020590e-03	1.923533854990e-04	1	false	DICPCG	3.137787855430e-03	2.501245603660e-05	68	true
76                  	DILUPBiCGStab	1.361001732050e-03	1.013983941160e-04	1	2.325502867700e-03	1.865365647190e-04	1	false	DICPCG	3.047958970150e-03	2.548461752070e-05	68	true
77                  	DILUPBiCGStab	1.326672681770e-03	9.872239978270e-05	1	2.265469550390e-03	1.809461713190e-04	1	false	DICPCG	2.961248615780e-03	2.422018068140e-05	68	true
78                  	DILUPBiCGStab	1.293021385570e-03	9.611253528660e-05	1	2.206745574870e-03	1.755560274160e-04	1	false	DICPCG	2.876195823630e-03	2.367167683720e-05	68	true
79                  	DILUPBiCGStab	1.260117866950e-03	9.355431492970e-05	1	2.149448462840e-03	1.703603283060e-04	1	false	DICPCG	2.792991298480e-03	2.171656994550e-05	68	true
