# Region type : patch inlet
# Faces         : 22
# Area          : 5.76317345e-06
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.00050253178   	-3.25695287e-04
0.00050364259   	-3.25710901e-04
0.00050475315   	-3.25715862e-04
0.00050586383   	-3.25723901e-04
0.00050697452   	-3.25731875e-04
0.00050808507   	-3.25744357e-04
0.00050919589   	-3.25752291e-04
0.00051030644   	-3.25760913e-04
0.00051141726   	-3.25766805e-04
0.00051252781   	-3.25772602e-04
0.00051363811   	-3.25778210e-04
0.00051474906   	-3.25788456e-04
0.00051585935   	-3.25802711e-04
0.00051697004   	-3.25814437e-04
0.00051808059   	-3.25825887e-04
0.00051919102   	-3.25834085e-04
0.0005203017    	-3.25839990e-04
0.00052141239   	-3.25844982e-04
0.00052252294   	-3.25849558e-04
0.0005236335    	-3.25859593e-04
0.00052474405   	-3.25871136e-04
0.00052585474   	-3.25882528e-04
0.00052696529   	-3.25893007e-04
0.00052807598   	-3.25901719e-04
0.00052918666   	-3.25909893e-04
0.00053029722   	-3.25912473e-04
0.00053140777   	-3.25917436e-04
0.00053251846   	-3.25922848e-04
0.00053362888   	-3.25930968e-04
0.0005347397    	-3.25941264e-04
0.00053585012   	-3.25949230e-04
0.00053696094   	-3.25962093e-04
0.00053807136   	-3.25967700e-04
0.00053918218   	-3.25979796e-04
0.0005402926    	-3.25985778e-04
0.00054140329   	-3.26000521e-04
0.00054251397   	-3.26006787e-04
0.00054362453   	-3.26017229e-04
0.00054473521   	-3.26026381e-04
0.00054584564   	-3.26025863e-04
0.00054695632   	-3.26032118e-04
0.00054806688   	-3.26035590e-04
0.00054917756   	-3.26045286e-04
0.00055028825   	-3.26052870e-04
0.00055139881   	-3.26063889e-04
0.00055250949   	-3.26070183e-04
0.00055361991   	-3.26077537e-04
0.00055473073   	-3.26085893e-04
0.00055584116   	-3.26090651e-04
0.00055695197   	-3.26101142e-04
0.0005580624    	-3.26106609e-04
0.00055917321   	-3.26120102e-04
0.0005602839    	-3.26126072e-04
0.00056139445   	-3.26139004e-04
0.00056250514   	-3.26143498e-04
0.00056361582   	-3.26147323e-04
0.00056472677   	-3.26155377e-04
0.00056583719   	-3.26157592e-04
0.00056694801   	-3.26168439e-04
0.00056805857   	-3.26173522e-04
0.00056916925   	-3.26182421e-04
0.00057027994   	-3.26189454e-04
0.00057139049   	-3.26199844e-04
0.00057250118   	-3.26205201e-04
0.00057361173   	-3.26213077e-04
0.00057472242   	-3.26217774e-04
0.0005758331    	-3.26222429e-04
0.00057694379   	-3.26226831e-04
0.00057805447   	-3.26230990e-04
0.00057916516   	-3.26237792e-04
0.00058027571   	-3.26247871e-04
0.0005813864    	-3.26257713e-04
0.00058249735   	-3.26273683e-04
0.00058360777   	-3.26284315e-04
0.00058471859   	-3.26294070e-04
0.00058582901   	-3.26297404e-04
0.0005869397    	-3.26305420e-04
0.00058805012   	-3.26309756e-04
0.00058916081   	-3.26318713e-04
0.00059027149   	-3.26319425e-04
0.00059138218   	-3.26319833e-04
0.00059249299   	-3.26328221e-04
0.00059360355   	-3.26329790e-04
0.00059471423   	-3.26340405e-04
0.00059582492   	-3.26345933e-04
0.0005969356    	-3.26351136e-04
0.00059804616   	-3.26358230e-04
0.00059915684   	-3.26364570e-04
0.0006002674    	-3.26370513e-04
0.00060137795   	-3.26374975e-04
0.00060248877   	-3.26381452e-04
0.00060359933   	-3.26386833e-04
0.00060471014   	-3.26391389e-04
0.00060582122   	-3.26399304e-04
0.00060693151   	-3.26403213e-04
0.00060804246   	-3.26414062e-04
0.00060915288   	-3.26419138e-04
0.0006102637    	-3.26429337e-04
0.00061137426   	-3.26431992e-04
0.00061248507   	-3.26437222e-04
0.00061359563   	-3.26439139e-04
0.00061470618   	-3.26449629e-04
0.00061581687   	-3.26454345e-04
0.00061692755   	-3.26461795e-04
0.00061803824   	-3.26464348e-04
0.00061914892   	-3.26466912e-04
0.00062025961   	-3.26469335e-04
0.00062137016   	-3.26473080e-04
0.00062248085   	-3.26475996e-04
0.00062359167   	-3.26484759e-04
0.00062470235   	-3.26490267e-04
0.00062581304   	-3.26498535e-04
0.00062692386   	-3.26502894e-04
0.00062803428   	-3.26508566e-04
0.00062914523   	-3.26515123e-04
0.00063025565   	-3.26517469e-04
0.0006313666    	-3.26523155e-04
0.00063247702   	-3.26527550e-04
0.00063358784   	-3.26536796e-04
0.00063469839   	-3.26540606e-04
0.00063580921   	-3.26546770e-04
0.00063691976   	-3.26545276e-04
0.00063803058   	-3.26551545e-04
0.00063914127   	-3.26556852e-04
0.00064025182   	-3.26555291e-04
0.00064136264   	-3.26562917e-04
0.00064247332   	-3.26564430e-04
0.00064358401   	-3.26571047e-04
0.00064469483   	-3.26575838e-04
0.00064580538   	-3.26581379e-04
0.00064691633   	-3.26586219e-04
0.00064802675   	-3.26588311e-04
0.0006491377    	-3.26592582e-04
0.00065024812   	-3.26594635e-04
0.00065135907   	-3.26600895e-04
0.00065246949   	-3.26602930e-04
0.00065358044   	-3.26610538e-04
0.00065469087   	-3.26610448e-04
0.00065580182   	-3.26616235e-04
0.00065691237   	-3.26618877e-04
0.00065802319   	-3.26629603e-04
0.00065913374   	-3.26631063e-04
0.00066024456   	-3.26637191e-04
0.00066135524   	-3.26634326e-04
0.00066246593   	-3.26637955e-04
0.00066357662   	-3.26638266e-04
0.0006646873    	-3.26644455e-04
0.00066579812   	-3.26646774e-04
0.00066690867   	-3.26650883e-04
0.00066801949   	-3.26652937e-04
0.00066913004   	-3.26654444e-04
0.00067024086   	-3.26660212e-04
0.00067135155   	-3.26663519e-04
0.00067246236   	-3.26666443e-04
0.00067357345   	-3.26670163e-04
0.00067468413   	-3.26673645e-04
0.00067579495   	-3.26676782e-04
0.00067690577   	-3.26683548e-04
0.00067801619   	-3.26685786e-04
0.00067912688   	-3.26685851e-04
0.00068023756   	-3.26686905e-04
0.00068134825   	-3.26687947e-04
0.00068245893   	-3.26693617e-04
0.00068356962   	-3.26698831e-04
0.00068468017   	-3.26703489e-04
0.00068579072   	-3.26708165e-04
0.00068690154   	-3.26708402e-04
0.00068801209   	-3.26708596e-04
0.00068912291   	-3.26710903e-04
0.00069023347   	-3.26713046e-04
0.00069134375   	-3.26714977e-04
0.0006924547    	-3.26721330e-04
0.00069356526   	-3.26722338e-04
0.00069467594   	-3.26724882e-04
0.00069578663   	-3.26726948e-04
0.00069689731   	-3.26730604e-04
0.000698008     	-3.26734089e-04
0.00069911869   	-3.26740043e-04
0.00070022937   	-3.26741899e-04
0.00070134006   	-3.26743954e-04
0.00070245048   	-3.26743186e-04
0.00070356156   	-3.26742819e-04
0.00070467185   	-3.26741785e-04
0.0007057828    	-3.26750071e-04
0.00070689322   	-3.26748225e-04
0.00070800404   	-3.26757241e-04
0.00070911459   	-3.26754368e-04
0.00071022528   	-3.26760165e-04
0.00071133596   	-3.26757735e-04
0.00071244665   	-3.26754904e-04
0.0007135572    	-3.26759457e-04
0.00071466815   	-3.26759279e-04
0.00071577857   	-3.26761334e-04
0.00071688966   	-3.26766629e-04
0.00071799994   	-3.26767830e-04
0.00071911103   	-3.26774394e-04
0.00072022132   	-3.26774565e-04
0.00072133227   	-3.26781484e-04
0.00072244269   	-3.26780314e-04
0.00072355364   	-3.26785302e-04
0.00072466419   	-3.26781348e-04
0.00072577501   	-3.26785124e-04
0.00072688556   	-3.26783736e-04
0.00072799612   	-3.26790020e-04
0.0007291068    	-3.26792728e-04
0.00073021749   	-3.26797279e-04
0.00073132817   	-3.26797521e-04
0.00073243873   	-3.26799250e-04
