# Region            : cellZone gateZone
# Cells             : 455
# Volume            : 5.129523050075e-04
# Time              	volAverage(Ma)	volAverage(p)	volAverage(T)
0.0055291358        	3.222965050275e+00	6.656865817548e+04	2.190726946525e+02
0.005531226         	3.222981320793e+00	6.658168588514e+04	2.190830798801e+02
0.0055333152        	3.223004395070e+00	6.659424052132e+04	2.190933729091e+02
0.0055354041        	3.223032135292e+00	6.660479920920e+04	2.191022022500e+02
0.0055374937        	3.223060699332e+00	6.661159571806e+04	2.191078704577e+02
0.005539585         	3.223089556207e+00	6.661358599969e+04	2.191093829726e+02
0.0055416784        	3.223119176737e+00	6.661062332753e+04	2.191066815187e+02
0.0055437741        	3.223146385873e+00	6.660318694610e+04	2.191002581401e+02
0.0055458704        	3.223168660014e+00	6.659159348053e+04	2.190903786316e+02
0.005547967         	3.223189345745e+00	6.657667641677e+04	2.190777021897e+02
0.0055500653        	3.223208563775e+00	6.655928947265e+04	2.190630307312e+02
0.0055521664        	3.223227426517e+00	6.654071329150e+04	2.190474468201e+02
0.0055542681        	3.223247412345e+00	6.652276665712e+04	2.190327905469e+02
0.0055563692        	3.223270665128e+00	6.650715666144e+04	2.190206948750e+02
0.0055584692        	3.223303049936e+00	6.649534731210e+04	2.190124085130e+02
0.0055605675        	3.223348543812e+00	6.648782499301e+04	2.190083584899e+02
0.0055626638        	3.223408195305e+00	6.648416572127e+04	2.190080090289e+02
0.0055647578        	3.223477972588e+00	6.648385191985e+04	2.190107982735e+02
0.0055668494        	3.223553898458e+00	6.648672816917e+04	2.190164441512e+02
0.0055689391        	3.223636805260e+00	6.649278398530e+04	2.190250186545e+02
0.0055710274        	3.223720237038e+00	6.650101371124e+04	2.190354984732e+02
0.0055731154        	3.223796976710e+00	6.650976856584e+04	2.190461815743e+02
0.005575204         	3.223867491014e+00	6.651757358581e+04	2.190558850488e+02
0.0055772944        	3.223926487297e+00	6.652195742396e+04	2.190623789535e+02
0.0055793871        	3.223969122645e+00	6.652127340276e+04	2.190640849825e+02
0.0055814809        	3.223999601559e+00	6.651558879040e+04	2.190610093645e+02
0.0055835744        	3.224016077086e+00	6.650620217726e+04	2.190543764724e+02
0.0055856685        	3.224018403876e+00	6.649465141836e+04	2.190456102318e+02
0.0055877639        	3.224010302951e+00	6.648134231294e+04	2.190350012327e+02
0.0055898621        	3.223992561448e+00	6.646704317798e+04	2.190231508106e+02
0.0055919637        	3.223966963004e+00	6.645304559494e+04	2.190112623606e+02
0.0055940659        	3.223936767334e+00	6.644077956212e+04	2.190008586427e+02
0.0055961675        	3.223900875431e+00	6.643222552926e+04	2.189938598904e+02
0.0055982682        	3.223861307446e+00	6.642966694729e+04	2.189924598020e+02
0.0056003669        	3.223822515409e+00	6.643412930074e+04	2.189976354080e+02
0.0056024632        	3.223782937576e+00	6.644414209630e+04	2.190078712498e+02
0.0056045568        	3.223745110520e+00	6.645785129635e+04	2.190214434631e+02
0.005606648         	3.223708260524e+00	6.647364122775e+04	2.190368317052e+02
0.0056087372        	3.223672447883e+00	6.648994384218e+04	2.190526230815e+02
0.0056108253        	3.223631016169e+00	6.650589683997e+04	2.190679726320e+02
0.0056129135        	3.223582762955e+00	6.652109307108e+04	2.190825618461e+02
0.0056150028        	3.223526311436e+00	6.653474659911e+04	2.190956796282e+02
0.0056170941        	3.223458525647e+00	6.654545277732e+04	2.191060608975e+02
